details,date,description,man_hours,type,location_name,grid_ref
Incident Report #22 1970,"Tuesday, 1 September, 1970 - 20:00","Man, aged 34 years, slipped on Raven Crag and fell some 30ft. Was lowered by Team and conveyed to Kendal Hospital by Ambulance Sustained fractured left arm.",NA,Rock climbing,Raven Crag,NA
Incident Report #20 1970,"Wednesday, 19 August, 1970 - 16:00",Report received of person in difficulty on Pavey Ark. Team at the New Hotel were about to leave for the incident when information was received that two members of the Millom Fell Team in the area at the time had given assistance. Both persons were unhurt.,NA,Fellwalking,Pavey Ark,NA
Incident Report #19 1970,"Saturday, 8 August, 1970 - 12:30","Youth missing from his home at Troutbeck. Search by Team in fields at the side of the house. Found and conveyed by Team Doctor and Members to County Hospital, Kendal. Dead on arrival. Suffered from overdose of drugs.",NA,Local Incident,Troutbeck,NA
Incident Report #18 1970,"Thursday, 30 July, 1970 - 09:00","Team alerted to commence search for youth missing fron Three Tarns, Langdale to Grasmere on previous day. Before search commenced youth found on Windermere Railway Station. Had not contacted his friends in Grasmere of his whereabouts.",NA,Fellwalking,Three Tarns,NA
Incident Report #17 1970,"Friday, 24 July, 1970 - 08:30",Search continued for boy as above. Team searched Upper Eskdale from Taw House. Boy found around 1-15 p.m. by Members of the Keswick Team. Langdale/Ambleside assisted in bringing the boy down.,NA,Fellwalking,Central Fells,NA
Incident Report #16 1970,"Thursday, 23 July, 1970 - 13:00"," Search in conjunction with other Teams, in the Scafell area for a missing 15 year old boy, on a walk near Cam Spout. Called off at dark. Search panel in charge.",NA,Fellwalking,Cam Spout,NA
Incident Report #15 1970,"Monday, 20 July, 1970 - 16:15","Man, aged 27 years, slipped while descending from Harrison Stickle. Fell some 80ft. Serious rib, back and head injuries. Brought down by the Team to Hospital with Landrover escort part of the journey. Not properly shod or clad. Remainder in the party similarly equipped.",NA,Fellwalking,Harrison Stickle,NA
Incident Report #14 1970,"Saturday, 18 July, 1970 - 10:15","Student 20 years, climbing solo on Raven Crag, Gt. Langdale, slipped and fell some 80ft. Sustained rib, back and head injuries. Brought down by the Team and conveyed to County Hospital, Kendal, by Ambulance. (Life saved by wearing crash hat).",NA,Rock climbing,Raven Crag,NA
Incident Report #13 1970,"Thursday, 25 June, 1970 - 16:30","Man, 24 years. Slipped while descending Nab Scar. Sprained right ankle. Brought down by Team and attended by the local Doctor. Taken to his lodgings by Landrover.",NA,Fellwalking,Nab Scar,NA
Incident Report #12 1970,"Saturday, 20 June, 1970 - 14:30","Man, slipped in Troughton Ghyll, Gt. Langdale, and sustained minor head injuries . Brought down by the Team.",NA,Fellwalking,Troughton Ghyll,NA
Incident Report #11 1970,"Wednesday, 3 June, 1970 - 00:00","Man, 55 years. Collapsed with heart attack on Wansfell and died. Brought down by stretcher by the Team.",NA,Fellwalking,Wansfell Pike,NA
Incident Report #10 1970,"Monday, 1 June, 1970 - 00:00","Student, 17 years. Walking on either Pike O'Stickle or Gimmer. Fell on screes and sustained head injuries and fractured left arm. Made his own way down and was attended to by Mr. Carr of the Dungeon Ghyll Hotel, in the Advance Base",NA,Fellwalking,Gt Langdale,NA
Incident Report #9 1970,"Tuesday, 26 May, 1970 - 14:00","Schoolboy, 14 year, descending gully on Green Tongue. Sprained ankle, brought down by Team Members on stretcher to the Old Dungeon Ghyll hotel.",NA,Fellwalking,Green Tongue,NA
Incident Report #8 1970,"Saturday, 16 May, 1970 - 11:45","Man, aged 26 years. Leading climb on Pavey Ark, slipped and fell some 40ft. Injuries to left shoulder and ribs. Team lowered him down the crag, and he was then carried down by stretcher and conveyed by Ambulance to County Hospital, Kendal.",NA,Rock climbing,Pavey Ark,NA
Incident Report #7 1970,"Monday, 4 May, 1970 - 11:45","Girl, 22 years. Missing on a walk from Borrowdale. Team searched from the O.D.G. Base to Mickleden, Stake Pass, and returned via Pikes. Found on the road at the New Hotel by Team Members. The girl had become benighted on the fells and made her own way down at first light, apparently in front of the Search Team. The Search Panel has been called but was then cancelled.",NA,Search,Gt Langdale,NA
Incident Report #6 1970,"Tuesday, 14 April, 1970 - 15:09","School party from Solihull, Warwickshire. Descending Pike O?Stickle Screes under leadership of teachers. Party split in to two groups: one party descended in good order but on the way down the other party came under boulders rolling down the scree. They managed to evade the boulders but a teacher and two boys, aged 16 and 13 years respectively, were hit by flying stones dislodges by the boulders and sustained head injuries. The youngest boy was brought down by stretcher by the Team and all conveyed to Kendal Hospital by Ambulance. The youngest boy had four stitches and others treatment.",NA,Fellwalking,Pike O'Stickle,NA
Incident Report #5 1970,"Wednesday, 8 April, 1970 - 15:05","Man, 21 years, walking on Fairfield collapsed, suffering from exposure. Brought down by Team on stretcher and conveyed to Kendal Hospital by Ambulance. Suitably shod but clad only in shirt, pullover and jeans. Insufficiently clad in bitter cold and deep snow.",NA,Fellwalking,Fairfield,NA
Incident Report #4 1970,"Monday, 6 April, 1970 - 15:02",Report came from the Old Dungeon Ghyll Hotel that two men walking up The Band with the intention of climbing on Bowfell Buttress and intending to return by 4 p.m. had not done so. Team Members were alerted in the late evening but before leaving the Advanced Base at the Old Hotel report came the men had returned at 10-5p.m. A false alarm with good intent.,NA,Rock climbing,Bowfell Buttress,NA
Incident Report #3 1970,"Sunday, 5 April, 1970 - 14:57","Man, 21 years, Climbing Instructor, climbing on Tarn Crag. The man, leading, slipped and fell some 40ft. receiving serious back injuries. His second on the rope, a girl 18 years, sustained a broken wrist. Both brought down by the Team and conveyed to Kendal Hospital by the Ambulance.",NA,Rock climbing,Tarn Crag,NA
Incident Report #2 1970,"Tuesday, 17 March, 1970 - 14:55",Students heard what was though to be cries for help on Pavey Ark. Team Members unable to see anyone on the crag. Search was made of the area of Harrison Stickle. Flares used but no trace of anyone. A false alarm with good intent. The Team returned to the New Dungeon Ghyll Hotel at 9-50p.m.,NA,Search,Pavey Ark,NA
Incident Report #1 1970,"Sunday, 1 February, 1970 - 12:30","A Dental Nurse, 18 years, slipped some 20ft. on Scout Crag, Gt. Langdale. Sustained back injuries. Adequately clad and shod. Brought down by Team and conveyed by Ambulance to Kendal Hospital",NA,Rock climbing,Scout Crag,NA
Incident Report #27 1971,"Monday, 13 December, 1971 - 09:30",Youth aged 18 years lost his way on walk to Scafell via Bowfell. Team alerted and were about to commence search when he was reported safe in Borrowdale having spent the night on the fell.,NA,Search,Scafell area,NA
Incident Report #26 1971,"Monday, 6 December, 1971 - 09:30",Youth aged 17 years: Failed to return from climbing on Scafell. Team alerted and about to commence search when information received the youth and his companions were safe.,NA,Search,Scafell area,NA
Incident Report #25 1971,"Tuesday, 9 November, 1971 - 19:35","Lady reported missing in the area Mickleden to Rossett Ghyll and Stake Pass. Team commences search: Keswick Team on stand-by. Other Teams alerted but before acting, lady reported safe at Tor Howe, Eskdale. Search parties about to set out from Eskdale.",NA,Fellwalking,Gt Langdale,NA
Incident Report #24 1971,"Saturday, 6 November, 1971 - 12:07","Youth aged 18 years: Climbing on Gimmer Crag, slipped. Brought down by Team and conveyed to County Hospital, Kendal, by Ambulance. Sustained suspected fracture of left ankle and right wrist.",NA,Rock climbing,Gt Langdale,NA
Incident Report #23 1971,"Monday, 18 October, 1971 - 16:48","Man aged 25 years climbing on Holly Tree Wall, Raven Crag. Believed to have been blown off the crag in heavy wind. Injuries, fracture of left femur and back injuries. Lowered 50 feet to the foot of the crag, stretchered down by the Team and conveyed to County

Hospital, Kendal, by Ambulance.",NA,Rock climbing,Raven Crag,NA
Incident Report #22 1971,"Saturday, 9 October, 1971 - 19:33","Girl aged 20 years. Slipped on rock as she was crossing small stream on the path between East Raven Crag and Gimmer Crag. Sustained leg and head injuries. Brought down by Team and conveyed to County Hospital,Kendal, by Ambulance.",NA,Rock climbing,Raven Crag,NA
Incident Report #21 1971,"Saturday, 11 September, 1971 - 14:00","Girl, aged 23 years: Climber. Hit by stone whilst on Jack's Rake, Pavey Ark — stone dislodged by climbers above. Sustained injuries to back, leg and head. Brought down by Team and conveyed to County Hospital, Kendal.",NA,Rock climbing,Pavey Ark,NA
Incident Report #20 1971,"Sunday, 5 September, 1971 - 02:00","Man aged 22 years. Slipped on Snarker Moor, Kirkstone. Brought down by Team having leg, chest and facial injuries, conveyed to County Hospital, Kendal by Ambulance.",NA,Fellwalking,Snarker Moor,NA
Incident Report #19 1971,"Sunday, 29 August, 1971 - 18:00","Man age 63 years: Slipped on wet ground following heavy rain on the Tongue, Troutbeck. Sustained broken right leg. Brought down by Team and conveyed to Kendal Hospital by Ambulance.",NA,Fellwalking,Troutbeck,NA
Incident Report #18 1971,"Thursday, 19 August, 1971 - 19:30","Lights seen flashing from summit of Helm Crag, Grasmere, and shouts heard. Search commenced by Team. Called off when.youths located on road near camp site. Youths were signalling to their friends on the camp site. False alarm.",NA,Fellwalking,Helm Crag,NA
Incident Report #17 1971,"Tuesday, 10 August, 1971 - 17:30","Boy aged 13 years: Became crag fast on Ivy Crag, Loughrigg. With School party. Brought down by Team. No injuries.",NA,Fellwalking,Loughrigg,NA
Incident Report #16 1971,"Saturday, 7 August, 1971 - 18:05","Woman aged 21 years: Climbing on Scout Crag Langdale. Leading, slipped on wet rock and fell 40 feet. Sustained hip and ankle injuries. Brought down by Team and conveyed to County Hospital,

Kendal.",NA,Rock climbing,Scout Crag,NA
Incident Report #15 1971,"Saturday, 7 August, 1971 - 17:45","Man, 21 years: Climbing solo on Raven Crag. Slipped, fell 40 feet. Brought down by Team and conveyed to County Hospital, Kendal. Sustained head, back and hand injuries.",NA,Solo,Raven Crag,NA
Incident Report #14 1971,"Monday, 26 July, 1971 - 15:00",Shouts for help heard in the area of Stake Pass. Team alerted after confirmation from other people at the Dungeon Ghyll Old Hotel. On arrival at foot of Stake Pass shouts proved to be shepherds gathering sheep. False alarm with good intent.,NA,Fellwalking,Stake Pass,NA
Incident Report #13 1971,"Wednesday, 21 July, 1971 - 17:00","Climber, Boy aged 14 years: Hit by stone rolling down fell side on Side Pike. Sustained fracture of the skull. Brought down by stretcher and conveyed to County Hospital, Kendal, by ambulance.",NA,Fellwalking,Side Pike,NA
Incident Report #12 1971,"Wednesday, 14 July, 1971 - 15:05","Woman aged 60 years: Slipped whilst descending from Rydal caves, Loughrigg. Sustained fractured left ankle. Brought down by Team on stretcher and conveyed to Kendal Hospital by ambulance.",NA,Fellwalking,Rydal Caves,NA
Incident Report #11 1971,"Thursday, 3 June, 1971 - 17:15",Two women got into difficulties whilst descending from Pavey Ark to Stickle Tarn. Team alerted and on their way up the fell when word came the women had been assisted to a safe place by other climbers.,NA,Fellwalking,Pavey Ark,NA
Incident Report #10 1971,"Saturday, 22 May, 1971 - 18:10","Man aged 61 years: Fell walking in Hell Ghyll, Langdale. I Collapsed, probable heart attack. Brought down by Team and pronounced dead by Team doctor.",NA,Fellwalking,Hell Ghyll,NA
Incident Report #9 1971,"Thursday, 22 April, 1971 - 17:40","Girl aged 16 years: Fell walking in Crinkle Ghyll, Langdale. Hit on leg by stone rolling down the fell. Sustained leg injury. Brought down by Team and conveyed to County Hospital, Kendal. Clothing, equipment and footwear good. Experience not known.",NA,Fellwalking,Gt Langdale,NA
Incident Report #8 1971,"Saturday, 10 April, 1971 - 14:25","Girl aged 17 years. Fell walking on Low Pike-High Pike. Collapsed. Clothing, equipment and footwear good. Experience not known. Brought down by Team. Team doctor in attendance and patient then conveyed to County Hospital, Kendal. No injuries.",NA,Fellwalking,High Pike,NA
Incident Report #7 1971,"Tuesday, 23 March, 1971 - 15:10",Youth aged 16 years: On award scheme venture: Called to Angle Tarn: Suffering from exposure. Had been placed in a tent by companions. Assisted by Team. Scheme doctor in attendance. Clothing good. Footwear good. Equipment good. Experience not known.,NA,Fellwalking,Gt Langdale,NA
Incident Report #6 1971,"Saturday, 20 March, 1971 - 18:02","Lady aged 67 years: Slipped on fell path. Silver Howe. Brought down by Team on stretcher and conveyed to County Hospital, Kendal by ambulance. Clothing good: Equipment not known. Footwear, poor. Ankle injury.",NA,Fellwalking,Silver How,NA
Incident Report #5 1971,"Saturday, 13 March, 1971 - 15:45","Youth aged 19 years: Slipped on scree, Pike O' Stickle. Brought down by Team on stretcher and conveyed to County Hospital, Kendal, by ambulance. Clothing, equipment and footwear good, experience not known. Sustained suspected broken leg and back injuries.",NA,Fellwalking,Pike O'Stickle,NA
Incident Report #4 1971,"Saturday, 13 March, 1971 - 12:25","Youth aged 18 years: Slipped whilst leading climb on Raven Crag, Langdale. Brought down by Team on stretcher. Conveyed to County Hospital, Ken¬dal, by ambulance. Clothing, equipment and footwear good, experience not known. Sustained suspected fracture of the base of the skull.",NA,Rock climbing,Raven Crag,NA
Incident Report #3 1971,"Sunday, 28 February, 1971 - 14:45","Call to White Ghyll, Langdale: Party of three had got into difficulties on steep, snow covered slopes. Assisted to safe ground by the Team. Ropes used in lowering. No injuries. Clothing fair: Equipment, none.",NA,winter,White Ghyll,NA
Incident Report #2 1971,"Monday, 4 January, 1971 - 15:00","Call to the Kirkstone Inn: Ski-ing accident: Boy with broken leg. Con-veyed to Westmorland County Hospital, Kendal.",NA,Skiing,kirkstone pass,NA
Incident Report #1 1971,"Monday, 4 January, 1971 - 13:00","Student, 20 years: Slipped on ice in Rossett Ghyll: Slight head injuries. Brought down by Team.",NA,Fellwalking,Rossett Ghyll,NA
Incident Report #28 1972,"Sunday, 26 November, 1972 - 18:10","Mother and daughter, aged 58 and 22 years from Northampton, set out on a walk from Seatoller, Borrowdale, via Langstrath, and Stake Pass, and Mickledon to The Old Dungeon Ghyll, Great Langdale.",NA,winter,Gt Langdale,NA
Incident Report #27 1972,"Sunday, 26 November, 1972 - 16:30","Husband and wife, from Manchester, were walking down from the top of Bowfell, when husband slipped and started to fall down very slippery snow on Left Hand Gully. He fell a considerable distance, sustaining slight injuries. Wife also fell about 500 feet, sustaining fatal injuries. Husband brought down by team that evening, and conveyed to County Hospital, Kendal, and detained. Due to very extreme weather conditions the body of the wife was recovered the following morning.",NA,winter,Gt Langdale,NA
Incident Report #26 1972,"Sunday, 12 November, 1972 - 15:15","Search on Silver Howe, Grasmere area, following reports that Flares had been
seen on the fell.",NA,Search,Silver How,NA
Incident Report #25 1972,"Saturday, 4 November, 1972 - 20:00","25 Five students from Nottingham, set off with other people to walk from Great Langdale, to Scawfell Pike, about 10 a.m. that morning.",NA,Fellwalking,Gt Langdale to Scafell,NA
Incident Report #24 1972,"Saturday, 4 November, 1972 - 19:20","Man, aged 23 years, from Oxford, climbing on Raven Cragg about 4.30 p.m. when he got into difficulties.",NA,Rock climbing,Raven Crag,NA
Incident Report #23 1972,"Sunday, 29 October, 1972 - 15:00","Man from Halifax, sustained an ankle injury on Stake Pass, and the team were alerted.",NA,Fellwalking,Stake Pass,NA
Incident Report #22 1972,"Monday, 25 September, 1972 - 16:30","Man, aged 58 years, from Coventry, collapsed and died above Easedale Tarn. Brought down by the team.",NA,NA,Grasmere,NA
Incident Report #20 1972,"Tuesday, 19 September, 1972 - 19:10","Man aged 52 years, from Surrey, taken ill with severe stomach pains whilst walking in the Hell Ghyll area.",NA,Fellwalking,Hell Ghyll,NA
Incident Report #21 1972,"Tuesday, 19 September, 1972 - 16:19","Youth, aged 16 years, from Slough, Bucks., was taken ill whilst on a course from the Y.W.C.A. Newby Bridge, near the top of Rossett Ghyll. He was brought down by the team, and conveyed by Ambulance to County Hospital, Kendal.",NA,Fellwalking,Rossett Ghyll,NA
Incident Report #19 1972,"Thursday, 31 August, 1972 - 17:10","Father and son, aged 9 years, from Leeds, were walking on Blake Rigg, Little Langdale, when they got into difficulties. They shouted for help,",NA,Fellwalking,Little Langdale,NA
Incident Report #18 1972,"Tuesday, 29 August, 1972 - 17:45","Youth aged 15 years, from Tavistock, Devon, was taken ill, whilst on an exercise on Great Rigg Mann, Grasmere.",NA,Fellwalking,Great Rigg,NA
Incident Report #17 1972,"Sunday, 27 August, 1972 - 16:30","Youth aged 18 years, from Lancashire, was climbing on East Raven Crag, when he slipped and fell about 10 feet.",NA,Rock climbing,Raven Crag,NA
Incident Report #16 1972,"Sunday, 23 July, 1972 - 19:30",A husband and wife from Preston were struck by lightning in Mickledon.,NA,Fellwalking,Mickleden,NA
Incident Report #15 1972,"Saturday, 22 July, 1972 - 21:00",Team called out to assist in the rescue of an American boy who had fallen down a mine shaft at Coniston. Rescue completed satisfactorily in company with the Coniston Team and Cave Rescue Teams.,NA,Fellwalking,Coniston,NA
Incident Report #14 1972,"Tuesday, 20 June, 1972 - 15:47","14-year-old schoolboy, from Newcastle-upon-Tyne. In party of 22 under a master and a 16-year-old boy. They walked from New Dungeon Ghyll along tops to Angle Tarn, on their way to Borrowdale. Turned back at Angle Tarn due to bad weather. One boy began to suffer from exposure, and was left on the tops, where, we do not know, by the master; left with him were two 14-year-old boys. No waterproof clothing left. Master unable to say where he had left them, and with a bit of luck the boy was found in Mickledon, by team members.",NA,Fellwalking,Gt Langdale,NA
Incident Report #13 1972,"Sunday, 18 June, 1972 - 13:20","Woman, aged 48 years, from Barrow-in-Furness, slipped on rocks near the outlet of Stickle Tarn, fell about 15 feet, sustaining head injuries. Brought down by team, then taken by Ambulance to County Hospital, Kendal.",NA,Fellwalking,Stickle Tarn,NA
Incident Report #12 1972,"Saturday, 17 June, 1972 - 22:30","Team alerted and standing by at Low Fold, following a report that 5 people were stranded on Pavy Ark, in very heavy rain, and strong winds. These people managed to reach safety, before team left Low Fold. They had apparently been stranded from about tea time.",NA,Fellwalking,Pavey Ark,NA
Incident Report #11 1972,"Friday, 2 June, 1972 - 14:30","Two youths, aged 16 and 15 years, from Bradford, on a Duke of Edinburgh Award Scheme, and walking from Wasdale to Langdale. They suffered from slight exposure near foot of Stake Pass. Brought down by team, and then given a hot bath at Old Dungeon Ghyll Hotel. Then allowed home in the evening.",NA,Fellwalking,Stake Pass,NA
Incident Report #10 1972,"Wednesday, 24 May, 1972 - 13:40","Girl aged 13 years, from Colchester, fell whilst walking with a school party on Loughrigg Terrace. Brought down by team with suspected fracture of the left leg. Taken by Ambulance to Westmorland County Hospital. Team also assisted in helping to school coach, another girl, 13 years, from Colchester, after she had also slipped and sustained a slight injury.",NA,Fellwalking,Loughrigg Terrace,NA
Incident Report #9 1972,"Monday, 1 May, 1972 - 17:37","Woman aged 46 years, from Nottingham, descending from Sergeant Mann to
Stickle Tarn, when she slipped and sustained a suspected fracture of the right
ankle. Brought down by the team, and conveyed by car to County Hospital, Kendal.",NA,Fellwalking,Stickle Tarn,NA
Incident Report #8 1972,"Sunday, 30 April, 1972 - 14:00","Youth aged 18 years, from Blackpool, was descending Rossett Ghyll when he
slipped and sustained severe spinal injuries, he was brought down Mickledon on the stretcher, and conveyed by Ambulance to County Hospital, Kendal. Footwear Tuf type boots with smooth soles.",NA,Fellwalking,Rossett Ghyll,NA
Incident Report #7 1972,"Tuesday, 18 April, 1972 - 00:00","Woman aged 22 years, from Cheshire, was descending Upper Dungeon Ghyll, when she slipped and sustained a suspected fracture of the left ankle. Brought down by team. Taken by Ambulance to County Hospital. Appeared to be well clad and shod.",NA,Fellwalking,Gt Langdale,NA
Incident Report #6 1972,"Wednesday, 5 April, 1972 - 00:00","Youth aged 18 years, Student, from Harrogate, was descending a short scree near Megs Ghyll, Chapel Stile, when he fell forward sustaining multiple lacerations. Brought down by team, taken by Land Rover to meet Ambulance, for County Hospital, Kendal.",NA,Fellwalking,Megs Ghyll,NA
Incident Report #5 1972,"Sunday, 26 March, 1972 - 00:00","Man, aged 31 years, from Leeds, was walking with a companion in Trout Ghyll, Great Langdale, about 1 p.m. when he slipped and fell, sustaining a fracture of the left ankle. He was brought down the fell, and conveyed to the County Hospital, Kendal. (Walking on fell footpath).",NA,Fellwalking,Trout Ghyll,NA
Incident Report #4 1972,"Sunday, 19 March, 1972 - 21:52","Woman aged 57 years from Preston, walking with her husband on Silver Howe, Grasmere, when she slipped and sustained a suspected fracture of the left ankle. Brought down by team, and then by car to County Hospital, Kendal. Properly clad, footwear only fair.",NA,Fellwalking,Silver Howe,NA
Incident Report #3 1972,"Sunday, 23 January, 1972 - 16:30","Man, aged 41 years from Preston walking along path at Stickle Tarn, collapsed about 3 p.m. Team to scene, brought down fell, found to be dead on arrival at New Dungeon Ghyll. Properly clad and shod, keen walker.",NA,Fellwalking,Stickle Tarn path,NA
Incident Report #2 1972,"Sunday, 23 January, 1972 - 16:00","Man, aged 24 years from Liverpool, walking with a party on Fairfield, became parted from them, about 3 p.m. Search made in co-ordination with Patterdale Team, found in Hart Cragg about 12 midnight. Very little worse for incident. Dressed in Duffle coat and leggings, hardly suitable for conditions.",NA,Fellwalking,Fairfield Horseshoe,NA
Incident Report #1 1972,"Sunday, 16 January, 1972 - 13:00","Man, aged 21 years, Student, from Greenford, Middlesex, leading climb on Raven Cragg, Great Langdale. He slipped and runners came out of rock, fell about 60ft. sustaining an injury to his right ankle. Brought down by team. Car to County Hospital, Kendal. Appeared well clad and shod.",NA,Rock climbing,Raven Crag,NA
Incident Report #30 1973,"Sunday, 30 December, 1973 - 00:00",Team asked to make a search of the Troutbeck area at the request of the Patterdale team.,NA,Fellwalking,Troutbeck Area,NA
Incident Report #29 1973,"Saturday, 29 December, 1973 - 00:00",Team members made a search of Stake Pass and Rossett Ghyll after a report was received that a man and a woman were missing on a walk to Buttermere from Langdale.,NA,Fellwalking,Stake Pass,NA
Incident Report #28 1973,"Sunday, 23 December, 1973 - 00:00",Search of Loughrigg and numerous places in the Ambleside area after a report was received by the police that a local person was out for a walk after being ill.,NA,NA,Loughrigg,NA
Incident Report #27 1973,"Sunday, 16 December, 1973 - 00:00",Team went to Coniston to assist the Coniston team in search for two girls missing overnight on Coniston Old Man. The girls were found the next morning after a night on the fells.,NA,Fellwalking,Coniston Old Man,NA
Incident Report #26 1973,"Wednesday, 28 November, 1973 - 00:00","Search by a small party of the team on Loughrigg after a 'funny' sort search of report was received to the effect that a person was missing, proved negative as anticipated at the start. (sic)",NA,Fellwalking,Loughrigg,NA
Incident Report #25 1973,"Sunday, 25 November, 1973 - 00:00","Male, 28 years. Climbing on Lower Scout Crag, Great Langdale, when he slipped about 30 feet sustaining a lacerated right knee and an injury to his right elbow. Brought down the fell by the team and taken in the land rover to Ambleside and then by ambulance to hospital.",NA,Rock climbing,Lower Scout Crag,NA
Incident Report #24 1973,"Wednesday, 7 November, 1973 - 21:30","Two students, 18 years, on a mountain expedition were suffering from slight exposure in Far Easedale, one with an injured knee. Assisted off the fell by the team.",NA,Fellwalking,Grasmere,NA
Incident Report #23 1973,"Thursday, 1 November, 1973 - 00:00","Search in Langdale for man and wife who were reported missing on a walk on the fells by their hotel proprietor. Car found by police at Wall End about 6 a.m. and the couple were found by the team on the Band, Great Langdale, about 9 a.m. They became lost when the mist descended the previous day but appeared to be very little the worse for a night on the fells.",NA,Fellwalking,The Band,NA
Incident Report #22 1973,"Sunday, 21 October, 1973 - 00:00",Call-out to the Old Dungeon Ghyll hotel. Report of three men who had been walking from Langdale to the top of Scafell Pike.,NA,Fellwalking,Scafell Pike,NA
Incident Report #21 1973,"Friday, 12 October, 1973 - 00:00","Male, 58 years, collapsed and died on Raw Fell, Great Langdale, whilst on a walk with his family. Body brought down by the team.",NA,Fellwalking,Raw Fell,NA
Incident Report #20 1973,"Monday, 8 October, 1973 - 21:44","Male, 56 years, reported as missing on a walk from Ambleside to the Langdale area on the previous day. Search made on Loughrigg and Lingmoor.",NA,Fellwalking,Loughrigg,NA
Incident Report #19 1973,"Wednesday, 3 October, 1973 - 00:00","Male, 69 years, collapsed and died in Stickle Ghyll, Great Langdale. Body brought down by team.",NA,Fellwalking,Stickle Ghyll,NA
Incident Report #17 (103) 1973,"Saturday, 22 September, 1973 - 00:00","Male, 17 years, on a Duke of Edinburgh Award scheme.",NA,Fellwalking,The Band,NA
Incident Report #18 1973,"Saturday, 22 September, 1973 - 00:00","Male, 16 years, on a Duke of Edinburgh Award Scheme when he suffered exposure in Crinkle Ghyll. He was brought down the fell by the team -and then taken to hospital.",NA,Fellwalking,Gt Langdale,NA
Incident Report #16 1973,"Saturday, 8 September, 1973 - 00:00","Student, 19 years. Walking with a companion down Rossett Ghyll when she sustained a muscular strain in her right leg.",NA,Fellwalking,Rossett Ghyll,NA
Incident Report #15 1973,"Saturday, 1 September, 1973 - 00:00","Female, 65 years. Walking with a companion up Easdale, Grasmere above Brimmer Head Farm when she became unwell.",NA,Fellwalking,Grasmere,NA
Incident Report #14 1973,"Friday, 17 August, 1973 - 22:58",Small party of team searched Wansfell after a report was received by police that flares and torch lights had been seen.,NA,Fellwalking,Wansfell,NA
Incident Report #13 1973,"Wednesday, 15 August, 1973 - 00:00","Male, 25 years. Leading a climb on Lower Scout Crag, Great Langdale when he slipped and sustained a fracture of left knee and shoulder injuries.",NA,Rock climbing,Lower Scout Crag,NA
