description,title,year,day,month_str,incident_n,month_n,grid_ref
Today we assisted the North West Air Ambulance with the evacuation of a male casualty.He had slipped and injured his ankle. The team stretchered the gentleman to the helicopter which took him to Furness General Hospital.,Claife Heights,2012,1,November,43,NA,NA
"A couple became lost whilst they were walking along the Coniston Old Man ridge. As visibility was poor due to mist and oncoming darkness, they asked for help.We split up into three teams approaching the ridge from different routes. One team was tasked with searching the area around Swirl Howe and Great Carr, one ascended the ridge via Goatshause, and the other started from the quarries. One of our team members also brought her dog, a trained SARDA dog.We did have a Grid Reference and then a mobile phone photo of the area the couple said they were. Obviously this was a great help even if this did not seem to tie up with the information that they were on or near the ridge.Progress was hampered by high winds, mist and darkness, and the odd rain shower didn’t help as the going underfoot was already slippy. Eventually, shouts were heard and then a torchlight seen. The man and woman were found on a track which leads to Grey Friar, another fell in this range. The area is known as Fairfield. There was relief all round as this was not a good night to be out.The party descended safely via Prison Band to Levers Water where the landrover was waiting. Back at the base the couple were given a hot drink before they left. The team made their way to a local pub where chips and drinks were on offer….most welcome.The call out took 5 hours.",Swirl Howe / Grey Friar,2012,30,October,42,NA,NA
Well we became “Knights in Shining Armour” for one evening.A taxi with 7 passengers suffered a flat tyre whilst negotiating Wrynose Pass. The driver left the party to go and find help as he couldn’t change the tyre due to the steepness of the road.Unfortunately he seemed to be taking a long time and after a couple of hours two of the passengers walked to the Three Shires Inn to ring the Police for assistance. We were happy to oblige and took two of our landrovers to the stranded group of cold people. Whilst there the driver returned with an AA Lowloader.We helped with the traffic control whilst the stricken taxi was dealt with. The AA Vehicle could only take a minimal number of passengers so we drove the remainder to Ambleside.We were out about 3 hours but the passengers had obviously been waiting for a lot longer.We like to be versatile !!,Wrynose Pass,2012,26,October,41,NA,NA
"13 personnel were deployed to help a young female who had hurt her back.She was close to the Pudding Stone in this rough area which is full of boulders. The casualty slipped at the end of a long day. Fortunately the Air Ambulance was able to attend, landing precariously on a flat piece of land close to the main track. She was put onto a spinal board and flown to Furness General hospital.The call out took 1 1/2hrs and we were able to drive all the way to the casualty…an unusual but welcome change.",Boulder Valley,2012,18,October,40,NA,NA
"A party of 4 walkers requested help to find their way off the fells.They were tired and were taking longer than anticipated to complete the walk. As such, they had only one torch to help with the darkness. The drizzle and cloud, as well as the very slippy terrain, also added to their problems.Fortunately the party was soon located as they had given a grid reference so we had an idea of their whereabouts. They were escorted safely to the waiting landrover and then driven back to their own cars.A successful call out taking less than 2 hours.",Birk Fell / Greenburn,2012,10,October,39,NA,NA
"Each year we are asked to marshall this annual trail race. The course covers an area around Coppermines Valley, Torver, and returns to the village via the lakeshore. Runners from all over the UK compete.Today there were several injuries ranging from a possible arm fracture, head and leg lacerations and cramps. Members of the team helped where they could, but mainly it was ferrying the casualties to the event field. Only 1 person was taken to hospital with an arm injury.It was a good event helped by perfect weather conditions. However the ground underfoot was very slippy which could be a little hazardous at certain points along the route.",Coniston area,2012,6,October,38,NA,NA
"The team was asked to assist the ambulance service once again with the evacuation, this time, of a male mountian biker.All the rain we have had has obviously caused tracks to be very slippy, especially the wooden boarding. The accident occurred in Grizedale Forest on the North Face Trail. The casualty came off his bike and injured, possibly fracturing, his right ankle.He was given pain relief whilst the ankle was splinted. The man was carried the short distance by stretcher to the waiting ambulance. He was then taken to Furness General Hospital.14 members responded to this call out which only took 1 1/4 hrs due to the location and easy access.",Grizedale Forest,2012,30,September,37,NA,NA
"The North West Ambulance Service requested our assistance with the transportation of their casualty.The lady, who was very poorly, lived in an area where access was difficult for an ambulance. Low Oxen Fell is north east of Coniston and is surrounded by narrow lanes. Paramedics were already in attendance when we arrived.The landrover was able to drive quite close to the property. She was secured in a casualty bag and onto the stretcher. It was only a very short carry to the vehicle. The lady was then taken to the main ambulance which was waiting about a mile away on the main road. She was rushed to Furness General Hospital.An easy call out taking 1 1/4hrs. We often assist the Ambulance Service in this way.",Low Oxen Fell,2012,26,September,36,NA,NA
"A female walker slipped and twisted her right ankle whilst walking on the main track down from Beacon Tarn (a quiet beautiful tarn nestled amongst the Blawith Fells), towards Stable Harvey.Her leg was splinted and she was stretchered to the landrover and then transferred to the waiting ambulance. The casualty was taken to Furness General Hospital.The call out took 3 1/4 hours because although the incident was not too far away, the terrain made the stretcher carry quite long. 10 members of the team attended.",Beacon Tarn,2012,22,September,35,NA,NA
"The team was called out to an accident in one of the quarries at Hodge Close, near Tilberthwaite.A climber was abseiling when his equipment failed (we do not have the details as to what exactly happened). He fell between 15′-20′ and sustained a broken left femur, as well as facial injuries. This is a very serious injury so time was of the essence.Paramedics from the North West Air Ambulance were also in attendance. They administered strong painkilling drugs whilst a special traction splint was applied to his leg stabilising the fracture. He was put on a stretcher and the difficult task of bringing him back up out of the quarry began.Rope systems were put in place to ensure the procedure was as safe and as smooth as possible. Once on firm ground the casualty was then carried to the waiting helicopter and taken to Preston Royal Infirmary.The call out took 2 1/2 hours and 20 team members turned out.",Hodge Close,2012,14,September,34,NA,NA
"Having just finished a training evening, the team was soon re-united to go to the aid of two male cyclists in Grizedale Forest.A father and son had got lost amongst the many forestry tracks as the darkness descended. It was raining but the good news was that they had found some portable toilets in which to shelter. The bad news was that they didn’t obviously know where they were and none of the 13 team members who turned out knew of these portaloos. It was too late to contact the Forestry Commission.So two landrovers split up and searched different areas of the forest. The cyclists were found near High Cross, cold but safe. They were encouraged to get back on their bikes and follow us out of the forest. One of the landrovers accompanied the men back to their campsite in Hawkshead to ensure their safety. The call out took nearly 1 3/4 hrs.One of the advantages of being in the forest at that time of the night was being able to catch glimpses of the wildlife. We saw a young deer, a stag and a badger. Beautiful.",Grizedale Forest,2012,11,September,33,NA,NA
"We were called to the assistance of 3 female walkers who had become lost in the mist somewhere near the Old Man.12 members attended the call out and were split into 4 teams, each searching a different area. It was extremely misty at times which didn’t help progress. Fortunately the casualties were found safe but very wet, near the summit of Great Howe.Great Howe is a fell which seems to attract lost people in mist and they can become cragfast. However in this instance although the ladies did not know where they were, they had the sense to stay put rather than venture onto the crags.Once located they were accompanied down Levers Hause and to the warmth of the waiting landrover and then on to the base. A taxi was called to take them back to Ambleside whilst the team was treated to a well earned drink.The call out took 3 hours, most of which was in the rain.",Old Man area,2012,10,September,32,NA,NA
"Once again I had the choice whether to leave my desk at work or attend this call out. Second day on the trot. No contest really. We have had quite a few call outs this month and yet the team continues to man these incidents well. 15 members turned out for this one…and it was raining hard !!A lady was walking down the main track towards Glen Mary Bridge from Tarn Haws to view the Tom Ghyll waterfalls. She slipped and banged her head, resulting in a deep cut to her forehead.It is difficult to assess the seriousness of a head injury as the symptoms do not always manifest immediately. Fortunately the North West Air Ambulance was able to attend and paramedics were already on scene when the team arrived. Although we had the stretcher ready it was decided to assist the lady in walking to the ambulance where she would be assessed. She was well and able to do this comfortably.She was later taken to the Royal Lancaster Infirmary. It only took 1 1/4 hrs to deal with this call out due to the close location and simple evacuation.",Tom Ghyll,2012,29,August,31,NA,NA
A female walker slipped on loose gravel whilst walking along this very stony track.She sustained an ankle injury and was given pain relief whilst the leg was splinted. The incident happened just above the rock gate so the stretcher carry was only a very short one.About 20 minutes after returning to the base the ambulance arrived and took her to Furness General Hospital.11 members of the team attended to this call out which took 1 3/4 hr.,Walna Scar,2012,28,August,30,NA,NA
"And another one for August !!! But note the duration.The team was called to the assistance of a gentleman at Yew Tree Tarn. Whilst with a party of walkers he had slipped.However, the team was stood down within 5 minutes as a First Responder was already on scene followed quickly by the ambulance crew.",Yew Tree Farm,2012,26,August,29,NA,NA
A female walker slipped on wet ground on the track from Brackenbarrow to the lake.She had injured her right ankle. She was given pain relief as her leg was splinted. The casualty was stretchered to our landrover ambulance. She was later taken by ambulance to Furness General Hospital.This was a fairly easy call out due to its location.,Torver Common,2012,NA,NA,28,NA,NA
"Ambulance Control called us for assistance on this occasion instead of the Police. This happens from time to time when they need some help to actually move the casualty when access is difficult for their ambulance.There had been a mountain bike accident on the track north of Tarn Hows. However, the injured person had been moved to the main road and as such easily picked up by the ambulance before the team arrived. We were therefore recalled.",Tarn Hows,2012,19,August,27,NA,NA
"An organised group of teenagers were enjoying themsleves scambling along Church Beck. This is a popular pastime and the waterfalls from below Miners Bridge make it more so if there has been heavy rain.
On this occasion, the team was called to the aid of a female teenager who had simply slipped on the wet rock. She sustained a possible fracture or sprain to her left ankle. Her leg was splinted and she was stretchered to our landrover ambulance.
It was a short ride to the rescue base where she was able to swop her very wet clothes for dry ones. She was then taken to Furness General Hospital.
This was a relatively short call out due to its location and 10 team members attended. We were glad it was a short one because the heavens opened on us all that afternoon.",Church Beck,2012,15,August,26,NA,NA
"The police instigated a call out to assist a lone male who had been biking in Grizedale Forest. He had become disorientated as it got darker.
However, the team leader was able to establish by phone exactly where the gentleman was and thus direct him back to the main car park at the Visitors Centre.
The rest of the team was therefore blissfully unaware that their evening could have been disrupted ie. Number of team personnel involved 1, length of call out 10 minutes.",Grizedale Forest,2012,14,August,25,NA,NA
"The team was called to the aid of a youth who had a possible broken ankle.However, we wThe team was called out to assist the Langdale & Ambleside Mountain Rescue Team.
A teenager had a suspected badly sprained ankle. Unfortunately she was at Angle Tarn, a beautifully positioned tarn below the Bowfell Range, but it would necessitate a long awkward carry out by stretcher.
Although LAMRT is a large team, there are occasions when members are already deployed on other incidents or unable to attend, so a request for help from another neighbouring team is not uncommon. In this instance however, whilst en route, we were informed that the Air Ambulance was picking up the casualty. So we turned around and headed home, having just reached Elterwater.ere then advised that a forestry vehicle had picked up the casualty and taken him to an ambulance. The team was therefore stood down.",Angle Tarn,2012,9,August,24,NA,NA
"The team leader was contacted by a local farmer saying that he thought someone was in need of assistance on Dow Crag.
As this was not a formal, confirmed call out via the police, and because it was night time, the whole team was not asked to respond. Instead 4 members went to investigate. They met up with some climbers who were out late but did not need any help.
At least it was a dry clear night!",Dow Crag,2012,8,August,23,NA,NA
"The team was called to the aid of a youth who had a possible broken ankle.However, we were then advised that a forestry vehicle had picked up the casualty and taken him to an ambulance. The team was therefore stood down.12 members attended this call out.This is the second ankle injury in a few days , so watch how you go people. An easy accident to have, especially on wet rough ground.","Carron Crag, Grizedale",2012,24,July,22,NA,NA
"The team was back at Tarn Hows today.
We went to the assistance of a lady who had been walking along the tourist track which runs alongside Tom Gill. She had slipped on wet ground sustaining a possible fracture to her left ankle.
She was given pain relief after which her leg was splinted. The lady was then stretchered to the waiting ambulance. The path can be narrow in places so the carry was quite awkward in parts.
She was taken to Furness General Hospital.",Tarn Hows,2012,21,July,21,NA,NA
The team was called to assist a male who had hurt his back.He had been exploring one of the areas just off the main track around Tarn Hows. Unfortunately he slipped off a log and fell awkwardly injuring his back. Access was quite easy for the landrover ambulance to get close.Paramedics attended to the casualty and he was taken to Furness General Hospital.The call out deployed 11 members of the team and took 1 1/2 hours. A nice easy short one.,Tarn Hows,2012,15,July,20,NA,NA
"The team was called to attend to a youth who had suffered an epileptic fit.His location ie. at the footbridge which runs over Tilberthwaite Gill, meant that assistance would have been needed if the boy did not recover well. Fortunately, when the team arrived he had stopped fitting. He felt well enough to walk down the track back to the school bus accompanied by team members.",Tilberthwaite Gill,2012,5,July,19,NA,NA
"A young man was with an army training group. They were walking along the main tourist track from Goats Hawse to the top of the Old Man when he slipped over on his ankle.This resulted in an injury, possibly a fracture, to his lower leg. Although the Air Ambulance attempted to assist with the evacuation they had to turn back due to the low cloud and mist. This meant that the team was faced with a long and quite difficult carry out to the Walna Scar road where our landrover ambulance was parked. Not only was it steep in places, but the path by Goats Water is full of boulders. The damp weather did not help as this obviously caused the terrain to be slippy too.It was decided to ask Duddon & Furness Mountain Rescue Team for assistance, and they helped with the stretcher carry. It was well appreciated.The casualty was given pain relief, his leg was splinted and then he was evacuated safely down the mountain. An ambulance was already waiting for him at the Rescue Base.The whole call out deployed over 20 rescue team members and took 4 hours.",Goats Hause,2012,4,July,18,NA,NA
The team is sometimes asked to assist local people when help is required under special circumstances.Today three members responded to a request to help with the relocation of a person.,Coniston,2012,NA,NA,17,NA,NA
"A male fell runner slipped just over the summit of Dow Crag whilst participating in a fell race.Due to the damp cool and misty conditions he soom became hypothermic although being cared for by the race marshalls. As well as CMRT being alerted a RAF helipcopter was also requested. Duddon & Furness Mountain Rescue Team assisted due to the proximity of the casulty as well as the fact that they were just in the process of completing an earlier call out further down in the Seathwaite area.The casualty soon warmed up once safely in the casualty bag. He was then stretchered down the mountain to the waiting landrover which had been driven further up the Walnar Scar Track than normal so as to expedite the evacuation. The RAF helicopter was able to land in the vicinity and the gentleman was evacuated to Carlisle hospital as a precaution.This incident was very labour intensive due to it’s location and the conditions, utilising a total of 30 mountain rescue team members as well as taking some 4 hours in total.",Dow Crag,2012,9,June,16,NA,NA
"After a callout free month, we had to get back into the mood to go to the aid of a female mountain biker.Although not actually cycling at the time, she fell suffering a severe laceration to her shin. The leg was already bandaged but she was given antibiotics due to the deep nature of the injury.She was stretchered to the landrover and taken to the base where an ambulance was waiting to take her to hospital.This was a relatively short call out as most of the distance could be covered by vehicle and the location of the accident was not too far from the village.",Iron Keld,2012,4,June,15,NA,NA
"Early this morning we were called to assist a party of 3 (one male and two females) who had become lost in the dark.They were found at Hoathwaite, south of Coniston Hall. The party had become disorientated due to the dark and woods.Because of the time of the call out (ie. early hours of the morning)and the fact it could be identified where they were, a full team call out was not actioned. Three team members located the party safe and unhurt, and took them back to their camp site.",Hoathwaite,2012,29,April,14,NA,NA
The team was called out to a female who had fallen off her mountain bike.The casualty was on the main track from Low Parkamoor to Heald Brow in Grizedale Forest. She had injured her left ankle and cut her leg. She was given a little pain relief and the leg was bandaged. The landrover took her to the waiting ambulance and she was then driven to Furness General.14 members of the team attended this call out which took 2 hours.,Low Parkamoor,2012,14,April,13,NA,NA
"Two females became disorientated whilst returning to Coniston from Seathwaite. They wandered off the path for Walna Scar and became lost.18 members of the team attended the call out. Duddon & Furness Mountain Rescue Team were also deployed as the walkers had been and still could be in their area. Since it would be dark soon, the more people searching for the ladies, the better.Eventually they were found by the Coniston Team which used whistles to locate the ladies. They were safe and well and returned to Coniston Base by the Duddon & Furness Landrover as this vehicle was much closer to them.",Seathwaite Fells,2012,6,April,12,NA,NA
The team was called out to attend to a male walker who was suffering from breathing difficulties.He was located on the Wet Side Edge path on Greenburn. Fortunately the North West Air Ambulance was soon on the scene as the casualty’s symptoms were presenting as a possible heart attack.He was given pain relief before being airlifted to Furness General Hospital.,Greenburn,2012,18,March,11,NA,NA
Whilst out walking a female slipped & dislocated her ankle.Fortunately the North West Air Ambulance was able to attend and treat the casualty. The team assisted by stretchering the lady to the waiting helicopter some distance away.This was a relatively easy call out as the incident was fairly close and there was no carry out. It took 1 3/4hrs.    <,Hole Rake,2012,17,March,10,NA,NA
"A young boy slipped and fell on to his left wrist. This resulted in a badly displaced fracture above the wrist.However, after being given Entonox, we were able to attend to the splinting of the injury. The boy was then well enough to walk to the North West Air Ambulance helicopter. He was taken to Carlisle Infirmary.16 members of the team turned out to this incident which took 1hr 40 minutes to resolve.",Cathedral Quarry,2012,9,March,9,NA,NA
The team was called out to a female cyclist who had fallen off her mountain bike.This incident happened whilst she was riding the North Face Trail in Grizedale Forest. The casualty sustained an ankle injury. The leg was splinted before she was stretchered to the waiting landrover and then taken on to the Visitors Centre.Once there the lady was transferred to an ambulance which took her to Furness General Hospital.,Grizedale Forest,2012,2,March,8,NA,NA
A family of walkers lost the path whilst walking in the fells above Far End.The female began to suffer vertigo. A full call out was not needed as a team member was able to soon locate them and accompany her to safety.,Yewdale Fells,2012,24,February,7,NA,NA
"Eleven members of the team responded to the request for help when a party of two became lost on Claife Heights.This area of forestry is full of tracks which can be disorientating, especially if it is dark and one is unfamiliar with the region.However, the team soon located the people. They were taken by landrover back to where their car was left.A short easy call out.",Claife Heights,2012,NA,NA,6,NA,NA
"A male walker slipped on frozen snow whilst descending Levers Hause.He fell quite some distance and suffered head and facial wounds, chest and ankle injuries. After he was treated, the team secured the casualty to the stretcher which was then winched into a RAF helicopter.This incident was not an easy one for the team and helicopter due to the icy terrain and darkness. It took 3 1/2 hours and 17 members attended the call out.",Levers Hause,2012,14,February,5,NA,NA
"Following the heavy snowfall (6 inches)on Saturday, District Nurses were struggling to do their rounds. The team leader was asked by the Ambulance Service if he could provide a driver and landrover to assist with this duty.We were happy to accommodate them.From time to time the team does help when the weather hinders emergency services and local people from carrying out their tasks safely.",Coniston area,2012,5,February,4,NA,NA
"Coniston had suffered galeforce winds over night which were continuing during the day in unexpected heavy gusts.Unfortunately a female walker was blown onto some rock whilst walking near Goatswater. Her walking companions were able to assist her to the Walnar Scar track. However as she had sustained a head injury and was suffering from concussion the team was called out. This was mainly because due to the location, an ambulance was unable to get close enough. She was given oxygen at the scene.Fortunately, the air ambulance was able to attend and after some excellent flying in poor conditions, the casualty was airlifted to Furness General Hospital.",Above Cove Bridge / Walna Scar,2012,21,January,3,NA,NA
"A mountain biker came off his bike sustaining a deep laceration to his knee.One of the team members was in a position to actually pick this casualty up and bring him to the base, whilst his friends took care of his bike. At the base his wound was re-dressed and due to the nature of the injury he was given antibiotics.Rather than call for an ambulance, the gentleman was able to make arrangements for someone to drive him to Furness General.It is not often we get the luxury of treating a casualty at the base !",Hodge Close / Holme Fell,2012,8,January,2,NA,NA
A female walker slipped on the main path leading from Miners Bridge to Windy Gap.She sustained a possible fracture to her ankle. The leg was splinted and she was stretchered to the landrover. Later she was then taken by ambulance to hospital.A relatively easy start to the beginning of the 2012 call outs.,Miners Bridge Track,2012,2,January,1,NA,NA
"It was dark when we got the call out, but although cloudy it was dry.A group of 4 people had set off in the morning to enjoy a walk in Grizedale Forest. However as the day went on and darkness closed in they became disorientated and lost their way. After trying unsuccessfully to find their own way back to their car they decided to call for help.Thanks to the SARLOC system (a way of locating people via their mobile phone) their position in the forest was soon identified, and one Land Rover was deployed to pick them up. A full team call out was therefore unnecessary. The party was driven back to their own vehicle safe and well.6 team members were involved in this incident which took 1 ¼ hours.",Grizedale Forest,2013,29,December,45,NA,NA
"The weather was wet and windy and as dusk was setting in the light was becoming poorer.A party of six walkers had walked over the summit of Coniston Old Man and then became lost. As it would soon be dark and there was a child with them, they were a little worried and therefore requested assistance.The Team was put on standby whilst information was gathered as to where they may be and how they were actually descending. It had been reported but not confirmed at the time, that another family member was talking them down. Apparently the party was already on its way off the fell via Goats Hawse and Goats Water. The Team deployed a couple of vehicles and the walkers were soon located not far from the Walna Scar track. They were all safe and well and therefore driven back to the base.In total 14 members attended this call out which only took 1 hour.",Goats Hawse,2013,26,December,44,NA,NA
"The weather was dry and sunny. The team was called to assist the North West Ambulance Service with the evacuation of a para-glider who had collided with the ground, close to the summit of the Old Man of Coniston. The Great North Air Ambulance also attended the incident.The casualty was treated by the Air Ambulance doctor and paramedic. He had a suspected head injury, lower leg injuries and bruising. The Team, together with the help of some soldiers in training from ITC Catterick, stretchered the casualty to the waiting helicopter about ¾ kilometre away down the fell. He was then flown to a specialist hospital in Newcastle.8 team members responded to this call out which took 3 hours.","Cove Quarry, Below Coniston Old Man",2013,11,December,43,NA,NA
"The weather was once again mild and dry. It was obviously dark.We were asked to assist the police in searching for a missing person. Areas covered were Tarn Hows (Tom Gill Waterfall), High Cross, the east side of Coniston Water, and Hodge Close. Two dog handlers, one from Duddon & Furness MR team and one from Langdale & Ambleside MR Team also responded to the call out. A Search and Rescue helicopter was utilised to assist. Well into the search we received the news from the police that the gentleman had been found safe in his vehicle at White Moss near Rydal. We were then stood down.A total of 22 Coniston Team members attended this incident including one of our SARDA dog and handlers. We were deployed for 1 ½ hours.",Tarn Hows,2013,2,December,42,NA,NA
"The weather was dry, sunny and without the usual breeze.The team was called out to the aid of a mountain biker who had fallen off his bike along what is known as the Coffin Trail in this area. He had sustained an injury to his shoulder, probably a dislocation.Two land rovers were deployed from the base, whilst other members made their own way there. The casualty was given pain relief and his arm put in a sling for comfort. The gentleman was then stretchered to the waiting North West Air Ambulance helicopter which had landed in a suitable location further down near Strawberry Gardens. He was flown to Lancaster Royal Infirmary.14 team members attended this incident which took 2 ¼ hours.","Belle Grange, West of Lake Windermere",2013,30,November,41,NA,NA
"The weather was very wet with low cloud and mist. There was a breeze in some pockets of the fells.A family party of 2 adults and two children had become lost in the mist. The location they gave was on the top of Coniston Old Man. However, we were able to pinpoint them as actually being on Dow Crag, thanks to the SARLOC system which enable us to locate casualties via their mobile phone if it has a GPS program. The group was instructed to stay where they were.Two land rovers set off equipped with torches and Search Sacks. Every half hour the mobile phone being used for communication was re checked for its position so that we could be sure the party had not moved. Due to the location identified it was decided the quickest route would be via Goatswater and Goats Hause. They were found just a short distance off the main track, cold and wet, but safe, and accompanied down off the fell to the land rovers. Once back at base the family was given drinks to warm them up.13 Team personnel responded to this call out which took 3 hours.",Dow Crag,2013,30,October,40,NA,NA
"Although not a call out…. the team did go out on a rescue mission!!On Saturday, 5th October, a couple who were on holiday had been walking on Torver Back Common, an area which rises quite steeply at times above the western shoreline of Coniston Water. There are many footpaths and sheep trods frequenting this partially wooded and bracken covered region. The gentleman had slipped and let go of Pip along with her extendable lead. This had spooked poor Pip who then ran off.Although the couple searched for a long time she could not be found. Posters were placed in strategic positions around Torver and Coniston. The Team was contacted on Monday evening by a fantastic organisation called Dog Lost http://www.doglost.co.uk/ asking if we would keep a look out for Pip, a small Jack Russell terrier.Tuesday evening was a training night for the team and it so happened that it was to be centred around Searching, with a practice on Torver Common. It was agreed that we should carry out a search for the dog as part of the training. Details were taken from the owner as to where and when it was last seen or heard, as well as Pip’s personality and useful traits. Squeaky toys and treats seemed high on the agenda as good searching tools.After the initial training on methods and techniques to be employed, the team split into two, with details of the areas to be covered. One team took the high route and the other followed the shore path, looking above the path itself with the aim to rendezvous at a given point. Line searches (where members walked in a line but at a distance apart) were carried out by the teams, but this was at times an arduous task because of the rough terrain.When we met up, there had been no sign of Pip….. so we decided to return to the landrovers but to carry out one last long line search covering the open ground above the tree line.And then we struck gold! One of the team members saw what he thought were “cats eyes”, but were in fact Pip’s eyes. Her lead had been snagged in the bracken so although she could run around, she could not actually go very far. The relief and sheer amazement that we had actually found her, was felt by everyone involved in the search.She was well, just cold and hungry. The very excited little dog emptied her bowels on one member as a show of appreciation!!!!!, before being carried back to the vehicles nestled in a jacket and fed the occasional “Cheesy Bite” and dog biscuit along the way.Pip was reunited with her very grateful owners who had made their way to the Base.A brilliant training session which lasted 3 hours and involved 13 team personnel.",,NA,NA,NA,NA,NA,NA
"The weather was dry with intermittent cloud and sunshine and a light wind.A couple had set off for a walk in Grizedale Forest but the gentleman had soon become tired. He decided to return to the car whilst his wife carried on walking the dogs. However when she returned, her husband was not yet back. As he had an underlying health condition and had not been feeling too well lately, she was concerned.The team was actually heavily involved with marshalling a Lakeland Trail Race, but this incident took priority. However, within 10 minutes of deployment we received notification that he had been found safe and well, so the team was stood down. The race at this point had not yet been severely affected.",Grizedale Forest,2013,5,October,39,NA,NA
"It was a dry, clear evening but torches were needed for the second half of the rescue.A couple with their son were descending towards the quarry after climbing Coniston Old Man earlier that afternoon. The lady slipped and twisted her knee. She did try to continue but it was too painful to bear weight.We were able to drive the landrovers most of the way up the quarry road. The casualty was soon located thanks to the husband making himself clearly visible. She was kept warm whilst the stretcher was being put together. She had sustained possible ligament injuries although a fracture could not be ruled out. Once her leg was splinted, the lady was stretchered about half a mile to the team vehicles and driven to the base. As the family lived locally they wanted to make their own way to Westmorland General Hospital. Since we had not administered any drugs we respected their wishes and therefore transferred her to their own car for the onward journey.13 members of the team responded to this incident which took 2 hours.","Bursting Stone Quarry, Coniston",2013,28,September,38,NA,NA
