date,incident,title
2016-02-25,Team called by Cumbria Police with concern for the welfare of a missing vulnerable elderly gentleman. Team members were on the way to base when we heard that he had been found and we could stand down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Missing person
2016-03-22,"For the second time this year, the team were called out to Gummers How; this time to search for a missing lady who had separated from her party at the foot of the technical ground and not been there on their return. With assistance from search dog Fern and members of the Duddon and Furness team, we split into teams to search the area and located the missing person on the North side of the hill tired but well. Family were reunited and posed for a photograph with members from both teams. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Missing person on Gummers How
2016-03-25,"Call from Cumbria Police, a gentleman had taken a slip along a section of Carlin Gill. He had tried to walk out but the pain was too much. We requested the assistance of Kirkby Stephen team, and with our Team Leader Dave first on scene to give us a grid ref the casualty was soon treated and stretchered out to an awaiting land ambulance. Another good outcome using joint teamwork.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Fall at Carlin Gill
2016-03-31,"Team contacted by Cumbria Police, cries of help had been heard by walkers on Yoke, part of the Kentmere horseshoe. A gentleman and his son had become cragfast on Star Crag. We sent in one team from the reservoir to ascend and another team via the Garburn pass to descend. Fortunately it was a relatively easy rescue and soon both the lad and his father were on the summit. We drove them down and back to their car in Kentmere.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Cragfast walkers in Kentmere
2016-04-11,"Team called by Cumbria Police with concerns for a missing person. We deployed team members to the Wren Gill area at the top of Gatesgarth pass, we also had the valuable assistance of Lakes Search dogs Einich, Sam and Dottie. As the sun was setting we received the good news that the person was safe and well.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Wren Gill
2016-05-18,"Team paged by Cumbria Police to assist in the search for a missing person suspected to be in the Eggerslack woods area. As we were preparing our search teams (in which we had requested assistance from Duddon & Furness MRT and Lakes search dogs), we received news that the person had been found by a member of the public. The search teams were stood down whilst members from Kendal team attended the casualty and stretchered them down to an awaiting ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Eggerslack Woods
2016-05-27,"Team paged by NWAS requesting assistance to transfer an elderly patient from a rural location with difficult access. M4 off road capabilities proved to be ideal for the task. Meanwhile over the road from base some cubs were being shown around the fire station when they had a call out, so after all kit was stowed after the callout DTL Chris volunteered to give them a team talk and tour.   Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Brigsteer
2016-05-30,"Team called by Cumbria Police. They had received a report that a lady had collapsed after swimming in Potter Tarn, With the danger of the casualty suffering from hypothermia we requested the assistance of the NWAA helimed. The team would like to say well done to the casualty’s son who made the call and remained calm throughout.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Fainting at Potter Tarn
2016-06-01,Team called by Cumbria Police after reports that 3 children in a canoe were in difficulty on the shores of Lake Windemere near Fell Foot. Team stood down as we were arriving at base after the good news that all was well and they had reached shore safely. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Windermere Canoeists
2016-06-03,"Team called by NWAS to assist with a casualty who had fallen down an embankment and sustained lower leg injuries along the river walk nr Natland. After a short carry off, the casualty was transferred to the awaiting land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Lower Leg Injury near Natland
2016-06-19,"Team paged by Langdale & Ambleside MRT, a request to assist in a call out towards Far Easdale. Team stood down as we were preparing a vehicle to leave base. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Far Easedale
2016-07-17,"Team called by NWAS requesting assistance after reports that someone had taken a fall into the river mint sustaining a head injury, they had been repairing a section of wall damaged by the floods and fell. Two team members were close by and went direct to confirm the location. Helimed paramedics were also quickly on scene treating the casualty.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Head injury in River Mint
2016-07-18,Team called by Cumbria Police. A member of a walking group had taken a fall whilst on Hutton Roof. As we were leaving base we received confirmation that the injured person had been able to walk down assisted by the walking group and an NWAS land ambulance was soon on scene. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Walker at Hutton Roof
2016-07-20,Team paged by Cumbria Police. A member of a group that had been camping overnight at the head of Kentmere reservoir had reported that one member had suffered fainting and convulsions. After treating and monitoring the casualty at the scene they were able to walk out with the team members and was then transported to hospital by team vehicle.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Fainting in Kentmere
2016-07-24,Team contacted by Cumbria Police. A holiday maker had reported themselves to be lost in the Clawthorpe Fell area. One of our Deputy Team Leaders managed to contact the person by phone to establish their whereabouts. Fortunately a family member was also out looking and soon contact was made and their was no requirement for a full team callout. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Lost on Clawthorpe Fell
2016-07-27,Team called by Cumbria Police. A young girl had taken a fall on Farleton Knott and sustained a broken ankle. Helimed was passing and was soon on scene. With some careful flying the helimed was able to land closer than previously thought and was able to transfer the casualty as team members arrived.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Farleton Knott
2016-07-30,"Team contacted by NWAS, we were requested to assist a land ambulance crew in moving a patient from a rural dwelling with very limited vehicle access. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Assisting NWAS
2016-08-01,"Team called out via the C & L Airdesk. A walker had fallen ill at the summit of Gummers How. Two team members were able to proceed direct,plus we requested the assistance of Duddon & Furness MRT in anticipation of a steep carry off. Fortunately, after some treatment, the walker managed to descend safely to the awaiting ambulance. Many Thanks to Duddon team for helping out.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Gummers How
2016-08-19,Team called out to assist Langdale & Ambleside MRT to carry a casualty off Wansfell after sustaining back injuries. Two vehicles were mobilised and the team was stood down once the casualty was off the hill.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Wansfell
2016-09-13,Team paged by Langdale and Ambleside Team to assist in a stretcher carry in the valley below Easdale Tarn. We sent 2 vehicles and 6 team members to assist. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Easedale Tarn
2016-09-17,"Team called by Cumbria police. A group of 5 DofE teenagers were reporting themselves lost, with one member having a slight injury, in the Whernside/Dent area. Although this was on Cave Rescues (CRO) patch they were dealing with an incident and asked if we could follow this up. As our search teams (with search dogs Fern and Cuillin) began to RV at the given location alongside members from CRO news arrived that they had been located by their assessor and were safely down. Team back at base by 02:10hrs. (preparing to help run today’s NPSARCOG ex at 08:00hrs) Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Whernside/Dent
2016-09-26,"Team called by Kirkby Stephen MRT. We were asked to assist in the ongoing search for a Missing person in the Helbeck Fell area near Warcop. Team left base at 02:00hrs. Search dogs Fern and Cullin were already on scene as part of Lakes Search and Rescue Dogs. With 7 other MR teams, CRO, RAF Leeming MRT, MCA, the Army and Police all involved it was a succesful outcome as the person was found safe at 14:15hrs The callout also proved the value of our joint exercise two weeks previously.    Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Hellbeck Fell, Warcop Training Area"
2016-10-01,"Team requested to assist Langdale & Ambleside MRT in a stretcher carry after a walker had sustained a leg injury near Brownrigg Moss, Grasmere Common. Casualty was located, treated, placed in a stretcher and carried down. On completion the team descended on L&A base to help rescue some hot pies from the oven. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Brownrigg Moss
2016-10-27,"Team contacted by Cumbria Police. A dog walker had reported themselves as being lost whilst out on Hutton Roof. Phone contact was made by one of our leader group, and once details were passed, he was able to direct the walker too a safe route down. A succesful outcome without having to mobilise the whole team. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Hutton Roof
2016-11-26,The team was called by NWAS to assist with a casualty who had sustained a dislocated patella near to High Cark Hall. Treatment was administered by NWAS crew and one of our team doctors prior to a short carry off down to the waiting land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,High Cark Hall
2016-12-16,"With Langdale and Ambleside enjoying a well-deserved team Christmas celebration, we recevied a report of walkers lost and disorientated on the Coast to Coast long distance path between Rosthwaite and Grasmere. Initial information given to Police suggested that they were nearer to Grasmere and could see the village lights. SARLOC was used but without response. The team despatched three vehicles, and teams walked a number of possible routes from Grasmere towards Greenup edge. We requested assistance from Keswick MRT, searching from Borrowdale, and SARDA Lakes, while the coastguard helicopter swept the area. At 23:00hrs we received the news of a successful find by search dog Beck at a location closer to Rosthwaite than Grasmere. The missing people were able to walk off without further assistance. This callout serves as a reminder to be properly prepared for a walk on the fells. Torches, maps, a compass, extra food and drink, fully charged phone and adequate clothing make your chances of detection and survival even greater. Kendal team members all back home by 02:00hrs   Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Greenup Edge
2016-12-23,Team called out to reports that a man and his dog had got themselves stuck in water at a location close to Selside. As our swift water team were preparing to leave base we received news that the man and his dog were safe. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Selside
2016-12-26,"Team & Cave Rescue Organisation (CRO) paged by Cumbria Police after reports of a walker with a broken leg in the Barbondale area. CRO took the lead as the incident was in their area, we provided a vehicle with 5 team members ready to assist if needed. Casualty was successfully transferred to the Helimed and we were able to stand down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Barbondale
2016-12-27,"Team called by Cumbria Police, a walker at Craggy Plantation had slipped and could not weight bear on their ankle. Luckily the informant was a team member so ourselves and NWAS were able to locate the casualty swiftly. After treatment, and a short carry, the casualty was soon in the land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Craggy Plantation
2016-12-29,"Team paged by Cumbria Police. A walker had called them after hearing calls for help north of Sadgill farm in Longsleddale. As the team were en route we heard news that the person requiring assistance had managed to self rescue from a crag that they were exploring. We thanked the walker who had made the call, as an early call can increase the chances of a successful outcome, whether that means more daylight hours to search or swifter treatment for the casualty. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Sadgill Farm
2016-12-30,"Team called by Cumbria Police, A group of family walkers requested help after a member of their party had slipped and sustained an ankle injury. They were located after we used the SARLOC system which pin pointed them on Holme park fell (Farleton Knott). We treated the casualty and stretchered them down to an awaiting land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Farleton Knott
2017-01-01,Team called by Cumbria Police. They had been informed that a young man had taken a fall and received injuries at one of the disused quarries in Kentmere. On the way to Kentmere the first vehicle was stopped by the occupants of a car which had the casualty inside. The casualty was treated and transferred to a land ambulance. Today has been a very busy day for teams across the lakes. It has been very slippery underfoot. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kentmere
2017-01-02,"Team called by NWAS, a walker on Scout Scar had taken a fall whilst out with family. With accurate information, including a good description of the injury, received from those with the casualty we were able to locate them very quickly. The casualty was treated on scene for a suspected broken tibia/fibula then placed on a stretcher and carried down to an awaiting land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Scout Scar
2017-02-14,"With two jobs on at once, our friends at Coniston MRT requested support from other lakes teams including Kendal. Seven team members soon assembled, and made their way to Coniston base to await deployment. As we arrived, we got the news that both casualties had been evacuated by helicopter. We used our team Land Rover to help ferry persons off the hill, and then returned home. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Coniston
2017-02-22,Team called by Langdale & Ambleside MRT to assist with a second incident that they were involved with. This one was close to White Moss car park. The casualty was successfully transferred to the awaiting ambulance just as we arrived. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,White Moss
2017-02-25,Team called by Langdale & Ambleside team to assist with an incident along one of the paths at Rydal Water. Casualty was transferred in a L&A vehicle to Low Fold (L&A Base) to await NWAS. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Rydal
2017-03-04,"The team was paged by NWAS, requesting our assistance. A mountain biker had taken a fall at Chapel House Woods, Staveley-in-Cartmel, and they could not access the casualty with the ambulance. As team members arrived on scene, helimed was requested, and the team were able to guide them to a suitable landing site, and stretcher the casualty the intervening distance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Staveley-in-Cartmel
2017-03-19,Team paged by NWAS concerning a water incident with persons trapped in a vehicle close to Sedbergh. Whilst team members were heading to base we received confirmation that the incident was being dealt with by the fire and rescue service. Team was stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Sedbergh
2017-03-26,"Cumbria Police contacted Kirkby Stephen MRT after walkers had heard what they described as shouts for help close to Whins Farm in the Howgills. As this is located in Kendal’s patch, KSMRT contacted us & relayed the information they had received. Both teams responded & jointly conducted searches around the possible locations. With no signs of anyone in distress, plus receiving information that a farmer was tending his sheep and yelling commands to his dog at the time of the report both teams stood down. Call was made with good intent Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Whins Farm
2017-04-02,"Team called by NWAS, a walker had fallen and sustained a head injury on a remote path at Hugill Fell near Staveley. The casualty was treated by the paramedics after which the team stretchered the casualty back to the land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Hugill Fell
2017-04-03,"Team contacted by NWAS, a walker on Gummers How had suffered from an allergic reaction and had fallen ill. Helimed 08 from Blackpool was also tasked. Two team members (plus search dog Fern) were quickly on scene, due to being near the area, and assisted the casualty into the helimed. Remaining team members had a quick leg stretch before returning to base.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Gummers How
2017-04-05,Team called by NWAS. A child had fallen from a tree swing and sustained a head injury. The location was Prickley Fell near Kendal Green. The team assisted in the stretcher transfer to helimed 08. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kendal Green
2017-04-20,"Team paged by NWAS. A mountain biker had come off his bike in Kentmere and sustained a shoulder injury. A team member was luckily in the area for a run and was able to reach the casualty quickly, shortly followed by a Land Rover with more team members. The casualty was treated at the scene and then transferred to the land ambulance at the road.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Kentmere
2017-04-30,Team requested to assist Langdale & Ambleside team with an incident at Loughrigg. Stood down en route. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Loughrigg
2017-04-30,"Not long after closing down base and grabbing a brew we were again requested by Langdale & Ambleside Team to assist with a possible crag incident at Raven Crag. Walkers had reported seeing people waving and shouting along the crag, some members of L&A team managed to locate the two persons and they were fine. A call made with good intent. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Raven Crag
2017-05-13,Team called by Langdale & Ambleside MRT to assist with what was their second callout whilst they were still on task with their first. We sent team members to assist with the incident at Mickelden . A walker had slipped and sustained a lower leg injury. The casualty was sledded/carried to an awaiting MR vehicle then transferred to a land ambulance at Lowfold.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Mickleden
2017-05-14,"A busy day yet again for Langdale & Ambleside Team. They requested our assistance for a callout near Rydal Hall, whilst their team was dealing with another shout. An elderly walker had slipped and required medical assistance. Fortunately a member from L&A team was also close by and helped by others managed to get the casualty to the road head just as we arrived. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Rydal Hall
2017-05-14,"Langdale and Ambleside MRT, on their third callout of the day, paged the team for assistance. A walker had reported themselves lost and injured. After search, the casualty was located in Scale Gill in Langdale, and had suffered a suspected lower leg break. The team sent two response vehicles, arriving on scene as the light started to fade. We were able to assist in evacuating the stretcher the the roadside, where they were transferred to an LAMRT vehicle which would meet the land ambulance in Ambleside.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Scale Gill
2017-06-09,Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kendal
2017-07-06,Team called by Cumbria Police. A gentleman and his young son found themselves in difficulty on one of the steep banks at Arnside Knott. Team members soon had them harnessed up and safely guided down.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Arnside Knott
2017-06-29,Team requested to assist Langdale & Ambleside MRT with a casualty after they had slipped and received a lower leg injury in Stickle Ghyll. Casualty was stretchered down to an awaiting land ambulance. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Stickle Ghyll
2017-08-10,"Team called by NWAS, an ambulance crew had requested the provision of our Auto Pulse system to an incident at Kendal Castle. Fortunately the auto pulse was not needed and we assisted the crew in stretchering the casualty to a land ambulance.    Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Kendal Castle
2017-08-13,Team responded to a request from Langdale and Ambleside MRT for assistance in a lengthy carry off at Rossett Ghyll. The casualty had a suspected broken ankle and was stretchered down to one of L&A vehicles before being transferred to a land ambulance at Langdales base.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Rossett Gill
2017-07-16,Team received a page from Langdale & Ambleside MRT requesting assistance with a stretcher carry for a leg injury on Fairfield. The team sent a Land Rover full of team members to assist. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Fairfield
2017-08-31,"Team called by NWAS to assist with an elderly person who had fallen on a remote path and sustained a knee injury. Seeing that the location – Cartmel – was bordering the area of Duddon and Furness MRT, both teams deployed enough personnel to ensure a safe stretcher carry to the awaiting land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Cartmel
2017-09-01,"At 16:25hrs, the team received a request from Cumbria Police to search for a missing person in the area of the River Kent near Natland. Swift water trained personnel from our team, along with assistance from Duddon and Furness MRT conducted bankside searches, whilst searchdog Fern covered the wooded areas. Team stood down as darkness fell and continued the following morning. Team stood down at 13:15hrs 02/09/2017 after all areas searched. Missing person turned up safe and well in Witherslack on 03/09/2017.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Natland
2017-09-02,Team called by Cumbria Police. A walker on a family day out had stumbled and sustained a lower arm injury whilst out walking along near Grey crag (Longsleddale). The injury was treated by the team and the casualty was more than happy to walk down the fell with a friendly shoulder to lean on. The casualty was taken to hospital by family members.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Longsleddale
2017-09-03,"Team called by Cumbria Police. Two walkers had been attempting the Wainwright memorial path route and one had become fatigued during the latter stages. They split up with one attempting to get aid. With very limited initial information we deployed two teams, one via Kentmere Reservoir and one along the Garburn pass via Dodds Reservoir. At 00:40 one of the walkers was picked up by the police as he made his way to a road head. We then managed to locate the other walker,close to IIl Bell, informed him to remain were he was and sent the teams to his location. The hill party met with him at 02:30hrs and after an assessment proceeded to walk him down. After a steady walk and drive down, dropping the walker off with the police, the team finally got back to base at 06:00hrs. Just in time for breakfast, and for some, a quick kip before work. The most interesting aspect was the location of the casualty according to Google !!!  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Kentmere
2017-09-07,Team called by Langdale & Ambleside MRT. They were dealing with a casualty with the potential of a long carry off down from Far Easedale. Fortunately Helimed 58 became available and managed to lift the casualty off. Team stood down by L&A once confirmation that the casualties walking partners were making steady progress down the fell alongside L&A MRT members Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Far Easedale
2017-09-13,"Team called by L&A MRT to assist with a carry off near Stickle Tarn. As team members were making their way up, L&A received another shout located above Brantfell Lane, Windemere. A casualty had slipped on the path and sustained a leg injury. Our team did a quick u-turn and proceeded to this incident. NWAS were on scene and we soon had the casualty in a cas bag and on the stretcher. Then a short carry to the ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Assisting with 2 Callouts for LAMRT
2017-09-21,Team called by NWAS to assist with a young casualty who had taken a fall from a rope swing in the woods by Sparrowmire lane Burneside. Fortunately the casualty was able to walk out and the team stood down. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kendal
2017-09-23,"Team called by NWAS. A walker had fallen an estimated 30-40ft down a steep embankment whilst walking along a path by Sedbergh Golf club and close to the River Dee. Injuries assessed and treated included Pelvic, Shoulder and Lower leg. These type of injuries meant a carefully planned vacuum mattress/stretcher extraction from a difficult location, minimising pain and discomfort to the casualty. The casualty was successfully transferred to the awaiting land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Sedbergh
2017-09-24,Team called by NWAS. A young casualty had fallen from a wall on Kendal Castle. Team stretchered the casualty down to the awaiting land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kendal Castle
2017-10-03,"Team called via Cumbria Police. A fell walker who was on Ashstead Fell in Borrowdale had slipped and suffered a lower leg injury. We chose to sled/backrope the casualty down Combs Hollow and transported the casualty in M1 to Hucks Bridge lay-by from where the casualty was transported to hospital by a family member.
 Copyright Kendal Mountain Search & Rescue Team. All rights reserved.","Ashtead Fell, Borrowdale"
2017-10-07,"Team called by Cumbria Police to assist with the search for a missing member of the local community. With Assistance from Duddon & Furness MRT and search dogs Fern, Rona & Bracken from Lake District Mountain Rescue Search Dogs we conducted searches of areas that the missing person enjoyed walking. It was with great sadness, that as we were planning the next stages of the search, we received the news that a body had been found by a member of the public. All those involved in the search from Mountain Rescue pass on our sincere condolences to the family and friends. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Search around Kendal
2017-10-10,"Team called to assist NWAS with a walker along the Dales Way path near Goodham Scales farm. On arrival team stood down as NWAS Crew, Farmer using a quad bike and a couple of ex mountain rescuers walking the dales way soon had the situation under control. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Leg Injury on the Dales Way
2017-10-13,"Team contacted via NWAS, a walker had suffered a lower leg injury close to Eskholme Pike Cairn just outside Barbon. Team members treated the casualty, packaged them up and stretchered the casualty down to the awaiting land ambulance.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Barbondale
2017-10-15,"Kendal team, alongside all other LDSAMRA teams, received a request from Wasdale MRT to assist with an ongoing search in their area. Kendal team members deployed as directed by the search managers to conduct foot searches along specific routes. Search team returned to Kendal base at 02:45hrs 16/10/2017. It was with sadness that we heard the news that a body had been found and recovered today. Our condolences go out to the family & friends.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Search in Wasdale
2017-11-03,Team called by NWAS. An elderly person had slipped and received a head injury whilst walking near the hospice monument on Hampsfell. We requested the assistance of neighbouring team Duddon and Furness MRT to help with the callout and subsequent stretcher carry. The casualty was treated on scene and stretchered down to an awaiting land ambulance. Many thanks to DFMRT for your assistance. P.S. The casualty recognised a few of the team’s friendly faces as 3 years previously they had been treated by us on Scout Scar. This time they did not get the helicopter ride.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Head Injury on Hampsfell
2017-11-08,"The team were at base undergoing their annual BLS assessment when we were contacted by Cumbria Police with concerns over a missing vulnerable person. With the information that the person was highly likely to be in the Ghyll Head area we were able to quickly deploy search teams, including the two team searchdogs Cullin and Fern. At 23:00hrs Searchdog Cullin gave his handler (John D) an indication of a find. The casualty was found alive but suffering the effects of the cold and wet conditions. Once stabilised the casualty was stretchered out to an awaiting land ambulance. After conducting an on scene debrief the team were back at base to re pack kit at 00:45hrs.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Training Becomes a Callout
2017-12-10,"Team notified via Cumbria Police of a search for a missing young vulnerable person located in our area. As the team were arriving at the RV, we received the good news that the young person had been found. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Search
2017-12-15,"Team called by NWAS concerning an incident with a cyclist on a lane near to Staveley Village. After confirmation that the lane was accessible and the cyclist had only minor injuries the team was stood down en route. Untreated lanes and frozen ground are still proving a hazard around the lakes areas, please take care. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Injured Cyclist
2017-12-31,"Team called by Cumbria Police: a walker had taken a slip and received a lower leg injury whilst trekking on Wray Crag, Kentmere. Team vehicles were able to get close to the cas site via Stile end. The casualty was treated and stretchered down to the team’s Landrover, then was transported to an awaiting NWAS land ambulance. The two walkers had all the right equipment and this made locating them a straightforward task for us. Happy New Year and stay safe.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",A Final Callout for the Year
2018-01-04,Team called by NWAS: a member of the public had fallen just downstream of Romney Bridge in Kendal and they required assistance in getting the person safely up the bank and into the ambulance. Team stood down as they arrived at the scene. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Ambulance Assistance Requested at Romney Bridge
2018-01-14,"Ourselves and Kirkby Stephen MRT called out by Cumbria Police; a member of a walking group had taken a fall on the summit of Cautley Spout. Both teams responded, with Kirkby Stephen co-ordinating the callout. The casualty was located and stretchered down to the base of Cautley Spout, transferred to a team Land Rover then transported to the Cross Keys for transfer to NWAS. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Ankle Injury at Cautley Spout
2018-01-15,Team members have spent the day assisting in the search for missing walker Richard Cockerham from Leeds.Teams from across the Lakes are working together to cover all possible routes. His car was parked at Brackenclose car park Wasdale. If anyone has any information relating to Richard could you please contact Cumbria Police on 101.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Multi-team Search of Scafell Pikes
2018-01-16,Team called by NWAS; a walker had taken a fall at the steps on Gummer’s How and received a painful back injury. Casualty was stabilised and treated by paramedics on scene and Kendal team casualty carers. We requested assistance from Duddon and Furness MRT to enable us to keep the carry off as smooth as possible.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Gummer’s How
2018-01-11,Team called by NWAS to what turned out to be a multi agency response in Kirkby Lonsdale. A member of the public had fallen down a steep bank in woodland adjacent to the river Lune. We arrived just as the FRS were successfully bringing the casualty up the banking and we remained on scene to offer additional assistance if needed.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Kirkby Lonsdale
