name,date,duration,members,Description,incident
Cwm Idwal,2008-01-15,00:35,1,"A SNP Warden contacted Oggie Base with the information that a female had slipped on the path to Cwm Idwal and banged her head. Another SNP Warden went to her location to provide first aid assistance, and then she was able to walk off with him. The rest of her group then transported her to Ysbyty Gwynedd for treatment. OVMRO were asked to be on stand-by in case assistance was required.",66
Penmachno Bridge,2008-01-09,02:25,1,The casualty was found by Team Members to be secured by a throw line above the fast flowing river but some 15m away from the top with vertical rock stopping further movement. He had split away from the Imperial College group and was portaging his canoe around an obstacle some 1km upstream when he lost his canoe and so he jumped into the river to try to retrieve it. He was not able to regain the canoe and so he ended up wild swimming. Eventually he recognised the critical exit and so managed to get to the river-left side on the rock past the [Penmachno] bridge. He tried unsuccessfully to move up the rocks and was secured by other canoeists using throw lines. The Team were called and extracted him using a lower/raise technique. He was very fortunate to come out that adventure alive given the serious nature of the river.,65
Goat path area,2008-01-01,01:50,2,"The informant heard what appeared to be shouts for help from 2 persons in the vicinity of the upper part of the Goat Path. A small party were despatched to investigate. Once the people had been located it became apparent that they had been shouting greetings to other people they saw on the mountain, possibly an acceptable practice in their own country. No further information could be gained as the language barrier came in to play once they realised their actions had caused the emergency services to be alerted!",64
Miners Track,2008-01-27,03:45,3,"The family left the YHA at Idwal late morning for a walk over the Glyderau via the Devil’s Kitchen. They made slow progress through the boulders on the Glyderau and realised the light was fading. They managed to reach the Miners Track but then they were unable to make safe progress due to the darkness, and the fact they had only one small torch between them. They had tried to request help earlier but had no phone signal. A small party of Team members located the family and escorted them back to Base to warm up.",63
Cwn Eigiau Area,2008-01-27,03:30,NA,"A member of the public rang 999 to report apparent distress signal whistles coming from the Craig yr Ysfa area at the head of Cwm Eigiau. Two hill parties set out to investigate, one from Llugwy and one from the Eigiau dam. When they met up by the mines in Cwm Eigiau, with no signs of anyone in distress, it was decided to end the search unless any further reports were received.",62
Forest above Glyn Farm,2008-01-25,01:15,1,"This well organised D of E group were on their 3rd day of an expedition in very poor weather conditions. They were all very wet and cold walking through the forest above Glyn Farm, Capel Curig, when one member apparently felt faint and then collapsed. The group took appropriate action by sheltering the casualty and calling for help at the nearby farm. Team members who were already at Base immediately attended the incident as the casualty had been described as unconscious. They treated the casualty until the ambulance arrived to transport him to Ysbyty Gwynedd. The remainder of the group were taken to Oggie Base to dry out and meet up with their supervisors.",61
Heather Terrace Area,2008-01-24,01:15,1,"The casualty had started to descend Tryfan, lost the route and became stuck somewhere above the Heather Terrace area. Team members were just preparing to go on the hill when he called to say that some walkers were now helping him down.",60
North Ridge Tryfan,2008-01-18,03:00,1,"A group of five experienced friends were ascending the North Ridge of Tryfan when, a short distance before the summit, the casualty slipped on a wet rock, put his hand out and unfortunately dislocated his shoulder. 22 Sqn were already training in the area so were asked to assist. The flying conditions (low cloud) were not suitable for the winchman to be put down at the cas site, so six MRT members were flown to two separate locations and climbed up to the Cas site. One member, who was a doctor, reduced the dislocation which improved the casualty’s pain considerably. He was then able to walk to the road without assistance. He was advised to attend his local hospital for a check-up.",59
Tryfan East Face,2008-01-11,07:30,6,"This group left the road at 10:30hrs and ascended the North Ridge, however the ascent took at least 6 hours due to one of the group being very slow. They arrived at the summit with just 45 minutes before darkness. After starting the descent, they “lost” the North Ridge and decided that going down a steep gully would lead to safety. Inevitably, they became stuck and unable to move up or down the steep, wet gully. They were extracted with some difficulty in challenging conditions by MR parties who had to climb up gullies at night to locate the stuck people. This extrication was compounded by the slow member of that party taking an inordinate amount of time to be brought off the mountain to Oggie Base. The key issues were poor party management, total lack of thought about timing of a trip into the hills and also the risks of descending into a steep gully.",58
Aber Falls,2008-01-11,04:25,1,"The casualty decided to circumnavigate the waterfalls at Abergwyngregn. However, cutting the route short put him on steep wooded slopes. He slipped and fell whilst crossing one of these slopes, sustaining a dislocated right shoulder. Distance of the fall could not be ascertained, however he stated that it was quite a way. The ambulance service was called first. When they arrived on scene it was immediately clear that they could not reach the casualty, so they requested assistance from OVMRO. Team members climbed up steep, wet ground to the ledge where he had landed and then lowered him in a stretcher to the path. He was then able to walk to the waiting ambulance.",57
Moel Siabod,2008-01-08,01:45,2,"It would seem that the male had been out walking on Moel Siabod during the day, and had met up with the female at some point. She was struggling to find her way down so he stayed with her to help her. This delayed him somewhat and night fell before they were off the mountain. He was reported missing by a concerned B&B owner, and the Team were activated to search for him. Whilst the Team were searching he rang the Police to ask for help as they were now lost in the forest above Plas y Brenin. The Team quickly located the pair, after hearing their whistles, and escorted them off the mountain.",56
Tryfan North Ridge,2008-01-29,04:20,1,"A couple were climbing the North Ridge and had just reached the area where scrambling becomes necessary, at the start of the Eastern Traverse. The casualty scrambled up a few ledges but then unfortunately slipped on wet rock resulting in a sliding, near vertical, fall about 20ft down the rock. Luckily, she had no other injuries except a badly deformed broken ankle. As weather conditions were marginal for flying, a hasty ground party were sent out to stabilise and treat her for pain. A short time later 22 squadron were able to deploy 2 MRT parties close to the cas site. A combined effort soon had the casualty stretchered to a suitable winching site and evacuated to Ysbyty Gwynedd by helicopter.",55
Tryfan East Face,2008-01-27,01:36,1,"The casualty and his father were climbing the fifth pitch of Grooved Arete approching ""The Haven"" when the boy strayed onto steep choss when he fell about 10m loosing his helmet just before he stopped and ripping a piece of gear. The helmet landed on Heather Terrace. A group also following the route helped them down to Heather Terrace. The team were called and passersby assisted at the site. Given the onset of darkness and the age of the casualty, 22 Sqdn were requested to assist. Father and son were winched from the site and were taken to Oggi Base where he was examined by a team member (surgeon) who diagnosed a fractured left ankle.",54
Bristly Ridge,2008-01-27,02:00,1,"Whilst ascending the gulley on Bristly Ridge, a party ahead of the casualty knocked down a rock which hit him in the face and he lost is hold tumbling about 8m dislocating his shoulder. The higher party asked if anyone was hurt, people replied yes, and this party then left the area! The casualty was able to start walking off and was met by Team Members and assisted off the hill to Idwal car park. During this descent, his shoulder replaced itself.",53
Trefriw,2008-01-24,05:00,1,"OVMRO were asked by NWP to assist in recovering a body from a riverbank. After the CSI unit had completed their investigation, Team members carried the body to the road for transfer to an Undertaker.",52
Milestone,2008-01-24,02:00,1,"The party of three friends were attempting the Grade 1 scramble in Little Gully at the side of the Milestone Buttress. They were a well equipped and experienced party, but unluckily one of the group slipped on wet rock and sustained a tumbling fall of about 80ft. Two Plas y Brenin instructors climbing on the Milestone went to his aid immediately, and looked after him whilst waiting for the emergency services to be alerted. Helimed managed to land a Paramedic close to the scene. Shortly after OVMRO members reached the incident site and 22 Squadron arrived. A multi-agency effort, on difficult ground, managed to swiftly treat and load the patient onto a stretcher before being evacuated by 22 Squadron to Ysbyty Gwynedd. A very lucky man not to have sustained far worse injuries.",51
Tryfan Summit,2008-01-20,01:30,1,"The party of two fell runners had run from Aber, over the Carneddau, and up Tryfan on their way to the Glyderau and then Snowdon. Unfortunately, one of them tripped on the summit of Tryfan, somersaulted and banged his head on a boulder resulting in a deep laceration to his scalp. A passer-by quickly applied an effective bandage and phoned for assistance. Much confusion followed with the ambulance service and Helimed being tasked first, then a rumour of 22 squadron being on route, then OVMRO were called. The Team Leader started the Team call-out, however, after talking to the casualty directly, it was decided that he could walk down and would be met by 2 OVMRO members going up. All other services were stood down, and the party were brought to Oggie Base for a check-up and to be returned to their transport at Llanberis. The casualty was advised to attend the local hospital.",50
Llanwrst,2008-01-16,03:00,1,"About 15:30, after school, the casualty and her friend were walking her dog up the river behind the Leisure Centre in Llanrwst. As her friend climbed up on to the river bank she dislodged a large rock which hit the casualty on the foot. The two girls felt unable to get the casualty out of the river and woods unaided, so the friend returned to Llanrwst to get help. An ambulance crew arrived on scene about 17:00 but were unable to evacuate the casualty due to the nature of the terrain (dense woodland and swollen river). OVMRO were called and were on scene by 18:00. Team members evacuated her by stretcher along the river and then through thick undergrowth to the waiting ambulance.",49
Notch Gully - Tryfan East Face,2008-01-15,05:00,2,"The two girls had climbed Tryfan via the Heather Terrace and the South Ridge, and intended returning by the same route. After a short rest on the summit they were persuaded by two men to follow them down the North ridge. This seemed like a good idea until the two men disappeared into the cloud, never to be seen again! The girls spent a considerable amount of time wandering around the upper north ridge and west face area before becoming totally stuck about 50 metres down Notch Gully. Several hill parties were dispatched to try to locate them. Once found they were assisted back up the gully and short roped off via Western Gully. Luckily, they remained in good spirits throughout the whole incident.",48
The Band - Langdale,2008-01-13,02:00,1,"Members of the Team were camping in Langdale for a Training weekend. They were asked to assist with a stretcher carry from the Band, for a man with a suspected leg injury. Nine Team members joined forces with the Langdale/Ambleside Team for a short stretcher evacuation to the roadhead.",47
Carneddau,2008-01-10,06:30,2,"The pair were walking the 14 Peaks on their second attempt this year and became lost on the ridge between Carnedd Llewellyn and Foel Grach in strong winds and heavy rain. They called 999 for help and were advised to head down Gledrffordd to more sheltered ground. The team were called with the plan of meeting the pair and escorting them safely off the hill. Unfortunately the pair kept walking and were eventually located at the top of serious ground whilst heading downhill towards, drawn like moths to a lamp, the lights of a spotter vehicle at the Eigiau dam. A very wet and cold pair were returned to a waiting parent at Trawsbwll. The pair had set off rather late from Snowdon and had not paid enough attention to the weather forecast or their own navigation skills.",46
Milestone Buttress,2008-01-10,02:15,1,"The casualty had started up Tryfan at midday. On the way back down the North Ridge he managed to stray on to the top of the Milestone Buttress, possibly due to poor visibility in the passing showers. Having descended a short gully he became stuck, and phoned for help. An easy extraction for the Team.",45
Milestone Buttress,2008-01-05,02:30,3,The group set out at 10am to climb Tryfan via the Heather Terrace and North Gully. In poor weather conditions they made it to the top of North Gully and then descended the North ridge until becoming cragfast somewhere above the Milestone Buttress. A small party of Team members were deployed to locate and retrieve the group.,44
Llanberis Pass,2008-01-30,05:15,4,"A family of 4 consisting of two adults and two children (aged 11 and 9) were reported to be stuck in a gully in darkness and not knowing where they were located. They were reported to have no torch, map etc but did have a good mobile phone. On questioning, they had left their car at Ogwen at 11:00hrs and did a scramble route to the summit of Glyder Fawr arriving at the summit at 17:00hrs. They then became disorientated and descended arriving near Pen-Y-Pass. Recognising this location, they headed back up into the cloud and darkness to get back to Ogwen. They became disorientated yet again and eventually became stuck on dangerous ground. The adult informant could see a house and a road with car headlights; he firmly believed himself to be in the Ogwen Valley close to the A5 and Ogwen Cottage. After much detective work, the group were located in the Llanberis Pass alongside the Cromlech in a gully. They were helped off the hill by team members. The informant was amazed that he was in the Llanberis Pass and later revealed that he did have a map and compass but probably did not know how to use them.",43
"Heather Terrace, Tryfan",2008-01-24,03:00,1,"The casualty and his wife were descending the Heather Terrace when he stumbled and his knee gave way. A passer by called for assistance as the casualty felt he could no longer walk. Although initial reports were of a head injury, which is why 22 squadron were requested, it became apparent that the casualty actually felt lightheaded and faint which was probably from pain.The Team attended the incident site, splinted the leg and 22 sqn evacuated the casualty to hospital.",42
West face Tryfan,2008-01-23,01:20,2,"The pair ascended the North Ridge of Tryfan but did not feel they could scramble the upper section, so retraced their steps. Unfortunately, they wandered on to the West face and became stuck. As the first party set out to find them they quickly became unstuck when a passing person offered to walk down with them. Probably an unnecessary call-out.",41
Glyder Fawr?,2008-01-19,00:50,2,"The casualties called NWP for assistance as they were lost in cloud. They stated they were on Glyder Fawr, but also mentioned the Cantilever. OVMRO Team Leader was unable to contact them on their mobile phone, so the Team were put on stand-by whilst waiting for further contact from the casualties. As predicted, another phone call 30 mins later confirmed that they had met up with another group who would show them the way down.A totally unnecessary call from a poorly equipped group.",40
Milestone Buttress,2008-01-12,05:00,2,"Father and son intended to climb Direct Route on the Milestone, starting at 16:00. They never found Direct Route and actually climbed Rowan Route instead reaching the top at 20:10. By this time they were in cloud and rain and they were not happy to take the normal descent route due to water pouring down it. They attempted to find an alternative way down by traversing and ascending the broken ground above the Milestone, however darkness won the race and their torches were at the bottom in their rucksacks. They found shelter and called for help. The Teams on the hill found it difficult to locate the pair as they could only shine the light of their mobile phone and visibility was greatly reduced by the heavy rain showers. Once located a speedy evacuation reunited them with their mountain boots, rucksacks etc and they were taken to Base to warm up.",39
Devil's Kitchen,2008-01-09,01:40,1,"A party from OVMRO, just setting out on the hill for the Oggie 8 challenge, were asked to look out for the DoE group by their leaders who were slightly concerned as the group were overdue in atrocious weather conditions. Team members met up with the DoE group on the path by the Devil’s Kitchen. One of the party seemed very wet and unwell so assistance was requested from Base. A small party of MRT made their way to the location and escorted the whole party back to Idwal carpark.",38
Tryfan East Face,2008-01-03,10:00,1,"Continuation of missing person search from 28/07/08. On the evening of 2 nd August a member of the public discovered a rucksack on the Heather terrace at the base of North Gully. Its contents were broken and it contained a mobile phone. It was given to NWP who later confirmed it belonged to the missing person. Team members started searching the surrounding area early the next morning, working in very exposed dangerous terrain. Several other personal items were discovered above the rucksack. Assistance was also provided by NWP helicopter and 22 Squadron. After 5 hrs, a body was located approximately 200m below the Heather Terrace in the direct fall-line from North Gully. The Fatal Incident Protocol was carried out, then the body was carried down from the mountainside and taken to Ysbyty Gwynedd for identification.",37
NA,2008-01-28,01:00,NA,"The owners of Gwern Gof Isaf had reported to NWP that the owner of a motorcycle and tent located at their campsite had not been seen for several days and had only paid until Thurs July 24th. The Team were asked to search the tent and motorcycle for any clues as to the whereabouts of its owner. Normal camping kit was found but no obvious route intentions. The Police had already contacted a family member who was concerned that the missing person had depressive tendencies.

No further action to be taken at this stage until the Police have checked the home address of the missing person and carried out further investigations.",36
Moel Siabod,2008-01-28,05:00,1,"The casualty and her daughter were walking uphill on Moel Siabod when she suddenly experienced severe pain in her big toe (no trauma sustained). She felt unable to walk any further and called for help. Unfortunately her map reading was poor, and the grid reference she gave had the Team member sent to round her up climbing over the ridge of Siabod from the north and then descending steep ground to Llyn y Foel where she was located. Having waited so long she had now decided that she could walk. She was given pain relief and some walking poles and managed to walk to the Landrover at the head of the track. She was taken to Ysbyty Gwynedd and left in the hands of a GP.",35
Silver Fountain on A5,2008-01-23,01:00,1,The Team were asked by NWP to assist with the extraction of a motorcyclist who had fallen down a steep bank after a RTC. Poor communications meant that the Team were sent to various locations before the final rendezvous at the Silver Fountain on the A5. By this time the FRS and ambulance crew had treated the casualty and loaded him on to a stretcher. Team members assisted with the carry out to the road.,34
Moel Faban,2008-01-22,01:40,1,"The casualty was a fit hill walker who met with a group of friends every Tuesday to go walking in the hills. The intended route this day was to walk up to Drosgl, Bera Bach, Garnedd Ugain then return down the Afon Wen. Unfortunately, the group had only got as far as Moel Faban when he suddenly collapsed without warning. His friends called for assistance and then proceeded to perform CPR for 45 minutes until the first rescue team member was on scene. Three MRT members individually assessed the casualty for signs of life but found none. At this stage CPR was stopped. 22 Squadron airlifted the casualty to Ysbyty Gwynedd where it was confirmed that he had passed away. The rest of the party were escorted from the hillside by MRT members.",33
Tryfan,2008-01-21,02:30,1,"The casualty, who was in an organised party, slipped and took a tumbling fall down the path on the South Ridge of Tryfan, in the process injuring his hand, shoulder, ribs and head. One party leader descended with the remainder of the group, and the second party leader remained with the casualty until 22 sqn arrived. The winchman asked for assistance to move the casualty so 3 MRT members were flown to the cas site. The casualty was then flown to Ysbyty Gwynedd for treatment.",32
Melin y Coed,2008-01-17,03:25,1,"The missing person was last seen on Monday 14th July 2008. A resident of Melin y Coed noticed that his van had been parked for 3 days in the same place on a country lane just outside the village. On trying to contact the owner, the informant discovered that the missing person had not been home for 3 days. SARDA were initially called to search the woodland close to the vehicle, and a body was quickly located. OVMRO team members were called to carry out the extrication of the body from a wooded gorge to the roadside.",31
Dolwyddelan / A5,2008-01-20,11:00,NA,07:30 Continuation of yesterday's search. 18:30,30
Dolwyddelan / A5,2008-01-19,06:00,1,"The missing person was last seen on Monday 16th June getting onto a train from Dolwyddelan at midday. Further sightings the same day in Betws and walking along the A5 near Capel Curig were later confirmed. He was reported missing by his family on Thurs 19th June. NWP searched his home address and it was evident that he had not returned home at any point. The Team searched the area surrounding his home on Friday evening, and then several MRTS were deployed on Saturday to search his possible route along the A5. No sign of the missing person was found, so the search was called off awaiting further instructions from NWP.",29
Colwyn Bay Area,2008-01-06,01:00,1,"The Team were called to assist SARDA and NEWSAR search for a person missing from home, in the Colwyn Bay area. She was thought to be vulnerable and had been missing since the previous evening. Several Team members had just been deployed when the missing person was located in a house, safe and well.",28
Below Llyn Geirionydd,2008-01-06,02:15,1,"This 10-year-old girl was with a school group, staying at a local centre, who were exploring the gorge below Llyn Geirionydd. At some point she entered a horizontal mine shaft and wandered into the darkness. She did not see the vertical shaft in the floor until she fell approximately 8m into it. The group organisers decided it would be best to seek expert help in case she was injured, so sent one leader to a phonebox to summon help. This is one of the few places in this area with no mobile phone signal. The Team and Helimed attended the scene and worked together to extract the girl, on a spinal stretcher, and then she was flown to Ysbyty Gwynedd for a check up.",27
Moel Siabod,2008-01-17,03:40,2,"The couple called for help from the summit shelter of Moel Siabod as they were lost(!). They had no map, no compass and no idea which way to walk down. However, they did have a spare cardigan. Although it was very cold on the summit they were not prepared to move before the Rescue Team arrived. A small party was dispatched to guide them from the mountain. This was a definite case of poor preparation, poor equipment and total lack of knowledge of the mountains. They failed to appreciate the inconvenience that their irresponsible actions caused to others.",26
Bristly Ridge,2008-01-13,03:00,1,"This well-equipped group of three were nearing the top of Bristly Ridge when the casualty had a tumbling fall of about 7m, sustaining possible hand and head injuries. The winchman was lowered to the casualty, then 22 squadron flew 3 Team members to the top of the ridge to help evacuate the other 2 members of the party. The casualty was flown to Ysbyty Gwynedd for treatment, and her friends were brought to Base.",25
Llyn Idwal,2008-01-12,00:20,1,"Two friends were at Llyn Idwal. It is reported that one of them started vomiting blood after consuming beer and then swimming in the lake. His friend ran down to the Brewshack to call for help, resulting in a NW Ambulance and OVMRO being alerted. In the meantime, the casualty managed to walk down to the carpark. When the Team Leader arrived the casualty was being attended to by the ambulance crew, therefore the Team call-out was cancelled.",24
Llyn Crafnant Area,2008-01-10,02:20,2,A party of two plus dog set off from Llyn Crafnant area to walk to Creigiau Gleision. After walking for 7 ½ hrs they arrived at some flat ground before steep ground leading down to the lake. At this point they felt unable to continue despite good visibility and use of a GPS to provide an accurate location. A small group of Team members made their way to the location and walked down with the casualties to Llyn Crafnant.,23
Milestone Area,2008-01-04,01:43,2,"Father and daughter set off to climb the North ridge of Tryfan at about 13:30. They turned round just below the summit and tried to retrace their steps down the ridge. Unfortunately they drifted towards the Milestone Buttress and became trapped in a steep gully. They felt unable to go back up so called 999 for help. A small party were despatched to their location and they were short roped up a short way before returning down the normal path. A very easy job for the Team as it was so close to the road. Chinese whispers slightly complicated the rescue when the hill party were suddenly informed the father had a leg injury. This was never the case, just poor communication from a passer by.",22
Dulyn,2008-01-02,02:55,1,"The party of four were descending a grassy slope when the casualty slipped and sustained an ankle injury. He felt unable to continue the walk so called 999 for assistance. A small party of Team members drove up to Menynllyn, then walked the short distance to the casualty. His ankle was splinted, then he was evacuated to the Team Landrover by stretcher. Back at the road he was transferred to Ambulance for transfer to Ysbyty Glan Clwyd.",21
Bangor,2008-01-27,03:28,1,"The missing person was last seen leaving Ysbyty Gwynedd, where she was a patient, at 08:00. It was felt that she was vunerable, therefore a missing person search was instigated. A Search Control was set up at Ysbyty Gwynedd and troops were just being deployed when information was received that she had been discovered on a Rochdale train station.",20
Tryfan,2008-01-26,07:28,1,"The party of friends were scrambling up the upper part of the North Ridge when the casualty took a tumbling fall of approximately 25metres. His friends immediately called 999 and both the Team, RAF Valley MRT and 22 squadron were deployed due to the possibility of serious injury. Flying conditions were atrocious with strong gusting winds over the ridge and intermittent cloud cover. Despite their best efforts, 22 Sqn had to land the winchman some way below the incident site. He persuaded a passer-by to carry his bag(!) and reached the casualty about 25 minutes before the Team. Due to the weather conditions the casualty had to be carried and lowered a long way down the N Ridge before 22 Sqn could safely winch him aboard and transfer to Ysbyty Gwynedd. The rest of the party were escorted from the hill by Team members.",19
S. End Cwm Idwal,2008-01-06,02:00,1,"The casualty was taking part in a practice walk in preparation for a sponsored walk later in the year. The group of 16 were descending the rough ground at the south end of Llyn Idwal when she slipped on snow/wet grass. Her ankle injury prevented her continuing the walk so the group leader called for assistance. As a large proportion of the Team were involved in a major exercise on the East Face of Tryfan, two Team members were sent from Base as a hasty party and 22 Sqn were requested. A joint effort saw the casualty quickly located, treated and flown to Ysbyty Gwynedd. The remainder of the group walked down with Team members.",18
West face Tryfan,2008-01-30,02:40,1,"The casualty started up the North Ridge of Tryfan at 09:30, however on reaching the North Tower she became unsure of the route. She strayed on to the West Face and then became stuck due to lack of confidence and lack of knowledge of the area. A small group of Team members went to her assistance and walked her back down to Base.",17
Bochlwyd path,2008-01-17,01:30,1,"A party of 5 friends were descending the Bochlwyd path, after a day out on Tryfan and Glyder Fach, when the leader lost the path for a few metres. During this minor diversion he tripped, fell about 6 ft and banged his head on a rock resulting in an impressive scalp laceration and skin flap. Other members of the party called for help and bandaged the wound. Members of several agencies close-by went to their assistance (OVMRO, LLMRT, SNP, CCW) and 22 Squadron arrived on scene at the same time. The casualty was then flown to Ysbyty Gwynedd for treatment.",16
Aber Falls Area,2008-01-16,02:00,1,"The casualty slipped on the footpath sustaining an ankle injury and he was unable to continue the walk. A passer-by carried on until a phone signal was found then called 999. Unfortunately the description of the casualty location was not clear. 22 sqn diverted from the previous job to search for this casualty. On the second attempt he was located, winched and taken to Ysbyty Gwynedd. Several Team members had also started a search from Aber car park but were recalled when the helo confirmed they had evacuated the casualty.",15
Glyder Fach,2008-01-16,03:30,1,"The party of 2 plus dog set off to scramble up Main Gully on Glyder Fach. After approx 30 metres, the casualty became stuck and was unable to ascend or descend. Her husband managed to extricate himself and the dog back to the bottom of the gully and called for help. 22 Sqn were training in the area and went to investigate but could not get close enough to winch due to strong down drafts. They picked up 2 Team members from Base and dropped them close to the bottom of the gully. As the Team members arrived at the casualty site two mountain instructors had also just arrived to offer their help. A combined effort resulted in the casualty being lowered to the bottom of the gully and walked down the scree slope. 22 Sqn had just arrived to pick everyone up when they were called to another job close to Aber Falls. The casualty and team walked back to the road and returned to Base.",14
Snowdon,2008-01-11,05:00,1,The Team were called to assist Llanberis MRT in a body recovery from Bwlch Glas on Snowdon. The body was carried down to the waiting ambulance in atrocious weather conditions.,13
Dolgarrog Gorge,2008-01-08,00:39,1,A member of the public reported that a group had checked in at the power station to access the gorge. The weather was very poor and the power station was using pumps to stop the gates on the dam at the top from tipping and flooding the gorge. If the pumps had stopped they estimated 20-30 mins before the gates opened. A short while after entering the gorge from the bottom the party walked out with little concern for the danger they were in.,12
Snowdon,2008-01-08,00:17,2,Llanberis team requested support to assist two people of Cryb Goch. One had head and arm injuries. Whilst our troops were making thier way to Llanberis 22 Sqdn. managed to reach the casualties and recover them with the assistance of the Llanberis team.,11
Idwal Slabs,2008-01-07,01:29,NA,Report of shouts for help. One team member walked up and nothing found. Probably goats.,10
Idwal Slabs,2008-01-16,03:45,3,"Whilst clearing up from the last callout we received a call for three cragfast climbers on Idwal slabs. They were contacted by mobile phone and explained they were approximately 2/3rds of the way up the slabs and it had gone dark. This was one of their first trips climbing in the outdoors, their previous experience being wall based climbing. A team member climbed up to them and they were recovered to terra firma. A cold night with ice on the Idwal Path.",9
