incident,n_incident,loc
"A competitor in an ultra trail race became exhausted and retired from the race at Skiddaw House Youth Hostel, a remote hostel round the back of Skiddaw only accessible by foot or 4WD. A small team in our Landrover headed up to the hostel where he was being well looked after. On arrival, the event medics were in attendance and were able to evacuate him themselves. The team returned to base. 5 team members – 1 hour 50 minutes",,skiddaw-house
"A couple of hours after incident 87, another one was reported at virtually the same spot. Again 2 people (this time two ladies aged 59 and 72) had been blown off their feet by a strong gust of wind. One suffered a suspected broken collar bone and a cut to the head while the other had a few cuts on her arms and head. The team landrover drove to the casualties along the mine road, this time from the Catbells end and were on scene within half an hour of the call. Both ladies were assessed and made comfortable and driven to Keswick Cottage Hospital where they were transferred to the land ambulance for transport to the Cumberland Infirmary. 14 team members – 1 hour 35 minutes",,newlands
"Whilst talking down two lost but uninjured walkers near Esk Hause, another call came from the ambulance service requesting help with an injured mountain biker. Apparently he had crashed after hitting a wet tree root resulting in a back injury. A small team was dispatched and stretchered the casualty to the ambulance which was waiting nearby. Meanwhile the two walkers were guided to a path and made their way to safety. It should be noted that they may not have needed assistance if they had a compass. 7 team members – 1 hour 30 minutes",,whinlatter-forest
"A mountain biker suffered a broken ankle after coming off at the tricky rocky section on the bridleway that contours Lonscale fell. The Keswick MRT Land Rover was dispatched and managed to get within 100m of the casualty. After some first aid the casualty was placed on a stretcher, and in deteriorating weather, was carried to the Latrigg carpark and a waiting ambulance. 12 team members – 2 hours",,20413
An 82 year old woman walking near New Bridge in Rosthwaite slipped and injured her arm. Two vehicles of team members drove to the Rosthwaite but on arrival they found her walking into the village with some passers by who kindly offered to drive her to Keswick Hospital. 16 team members – 37 minutes,,rosthwaite
A couple with a dog requested assistance after becoming crag fast whilst descending Barf. A small team was dispatched and made swift progress in locating the couple. They were then supported down to the safety of the road. 10 team members – 1 hour 15 minutes,,barf
"A 21 year old woman was reported to have fallen 100ft from Sharp Edge at the difficult step along with her dog. A passing doctor had seen her fall but was unable to reach her. As the team were still at base following the earlier incident, 2 vehicles of members were quickly away and set off from Mousethwaite Combe. Because of the possible seriousness of her injuries, both the Great North Air Ambulance and the Coastguard helicopter, which has winching capability, were mobilised. GNAAS uplifted some team members closer to the casualty site to save time and they were quickly with her and able to assess her injuries which fortunately did not appear too serious. A team rigged from above on the Edge and lowered an attendant with vac mat and Tryomont bag for extraction by the Coastguard helicopter which was standing by on Bannerdale Crags. The lady was winched into the helicopter and her uninjured dog walked down with the team. 18 team members – 3 hours 40 minutes",,sharp-edge-98
The North West Ambulance Service requested assistance to help an injured mountain biker on the path between Portinscale and Keswick. Within minutes a nearby Keswick Team member was on scene followed by a passing doctor and a team paramedic. The casualty was able to walk to the waiting ambulance and was then taken to hospital for further assessment. 7 team members – 50 minutes,,howrahs-field
"A 68 year old man walking with his nephew slipped descending the rocky path at Birkside beneath Nethermost Pike on the west side of the Helvellyn range. He took a 2-3m tumble suffering a head and lower leg injury. A member of Langdale Ambleside MRT was walking in the area and looked after him until the Keswick team were on scene. 2 teams of vehicles were away quickly from base parking at Wythburn Church car park and ascending by foot from there. Because the gentleman had been unconscious for a short time, it was decided to call for air support. Fortunately a coastguard helicopter was available and managed to land within 100m of the casualty site. The team put him in a vac mat because of the concern over C-spine injury and carried him to the helicopter, where he and his nephew were flown to Carlisle Infirmary. 16 team members + 1 LAMRT member – 2 hours 40 minutes",,birkside
In damp and slippery conditions a 9 year old boy wearing green wellies slipped whilst walking on High Rigg and landed on his hand apparently breaking both radius and ulna above the wrist. The team were on scene within an hour with one of our paramedics assessing the boy’s injury. The very stoic boy was happy to breath some Entonox to relieve his pain before his wrist was splinted. Rather than risk a further slip the team stretchered him down to the road to the waiting ambulance. 11 team members – 1 hour 27 minutes,,high-rigg
"Two white German shepherd dogs (Lexi and Shyler) fell around 30ft off a crag on Castle Crag above the Allerdale Ramble path. Lexi made it’s own way down to the path despite it’s injuries. Shyler decided to follow Lexi over the cliff but came to rest at the foot of the crag with a suspected broken leg. The team, were able to drive to the location up the Allerdale Ramble from Grange and, on assessment and discussion with the dog owner, decided the best course of action was to stretcher Shyler down to the path. A ‘nest’ of a vacuum mat and casualty bag was made up into which Shyler was placed and strapped in. A back rope was used to aid the steep descent down the scree to the path. Lexi was also then placed on the stretcher and both dogs were carried down to the end of the road near Hollows Farm campsite where they could be taken by the owners to the vets.
9 members – 2 hours and 5 minutes",,castle-crag
"A 43 year old man and his 73 year old father were blown over by a very strong gust (Storm Ali) whilst walking along the track below Catbells, near Littletown. The younger man landed on his head, bit his tongue and lost consciousness for a short time. The father suffered bruising to his hip and knee. Keswick team arrived on scene in the Landrover, assessed and evacuated both down to the road where they were met by the NWAS land ambulance.
10 members – 50 minutes",,newlands
The North West Ambulance Service requested support from the team to stretcher a 58 year old male from the lakeshore to a nearby ambulance parked on the roadside. The man had stepped off a foot bridge and turned his foot leaving it very swollen and unable to bear any weight. Two vehicles were dispatched but one returned after the location was confirmed to be close to the road. After a quick transfer to the ambulance the man was taken to the Cumberland Infirmary at Carlisle. 12 team members – 1 hour,,derwentwater-lake-shore
"A report came in via Cockermouth Team of 3 people waving and shouting for help and one person on the ground part way up Whiteless Breast above Buttermere Village. When the Keswick Team arrived on the Buttermere side of Newlands Pass there were a few members of Cockermouth team already approaching the area. Keswick team were positioned on the road opposite with a clear view of hillside and could see no lights or anything suspicious. The wind was very light and no shouts for help were heard. With nothing seen or heard the incident was recorded as a false alarm with good intent.
12 team members – 55 minutes",,newlands-sail-beck
"The team were called out early in the morning to a 55 year old man camping at Sprinkling Tarn with his two sons. He tripped while walking near the tarn during the night suffering a fracture to his lower left leg. Fortunately a deputy team leader from the team was working in the area and managed to call in the incident. With only 7 Keswick team members available, Cockermouth MRT were called in to help. The team parked at Seathwaite and arrived with the casualty around 0730. He was assessed and given analgesia and splinted and then carried down via the ‘sledge’ route back to Seathwaite where an ambulance crew met up with us and he was transferred. It’s a long stretcher carry, so we were particularly grateful to Cockermouth for helping us out again. 7 Keswick team members, 9 Cockermouth team members – 4 hours",,sprinkling-tarn
"An 80 year old lady was spotted waist deep in Derwentwater at the back of the Derwentwater Hotel in Portinscale walking towards the river. Cumbria Fire and Rescue were mobilised and an ambulance attended while a vehicle of Swift Water Rescue Technicians from Keswick team set off. One member who lives close to the incident site went direct and found the lady, and as she was not in dangerous water at that point managed to reach her and walk her out. 17 team members – 52 minutes",,derwentwater
"Two 24 year old female walkers called 999 saying one of their party was hypothermic. They were walking from Great to Little Dodd on the Helvellyn Range in showery and windy conditions with bad visibility. The Landrover team returning from a previous job went direct to approach via the Old Coach Road fromSt Johns in the Vale whilst a second team set off to approach from the Dowthwaite Head end of the Old Coach Road. The party was met descending at the back of Wolf Crag, they were given warm clothes and escorted back to the team vehicle and driven to their accommodation.
20 members (plus one from the Patterdale Team) – 1 hour 39 minutes",,great-dodd
"A daughter and her mother had been walking on the Helvellyn ridge that day and had taken longer than expected to complete their walk. As it became dark, they got lost and cold and wet but fortunately had good phone signal. The team used SARLOC to locate them which put them on Great Dodd. A small team went out to find them which they did quickly then walked them down Sticks Pass to the team vehicle and then drove them to their car at Swirls. 7 team members – 3 hours 50 minutes",,great-dodd
"A 64 year old male out walking with a group slipped on the wet rocky path above Watendlath towards High Tove injuring his ankle. 2 vehicles of team members set off to Watendlath and as the casualty was just 200m up the path, they were with him very quickly. He was given analgesia and then splinted and carried down to the car park. As there was a delay with the ambulance, he was driven inside one of the team vehicles to Keswick Cottage Hospital and then transferred. 17 team members – 1 hour 49 minutes",,watendlath
"109 A mountain instructor climbing up Raise en route towards Helvellyn heard female shouts for help. With very poor visibility and cold conditions he was reluctant to put himself in danger so called for help investigating. Two teams of three including one search dog set out on different paths to cover the area where the shouts were heard. The teams searched the area and main paths from Legburthwaite and Sticks Pass, over Raise and Whiteside to the summit of Helvellyn Lower Man and down to Swirls via Brown Cove Crags. Nothing was heard or seen and the team returned to base presuming false alarm with good intent.
9 members – 4 hours",,raise-helvellyn
"An 82 year old gentleman became separated from his group at Windy Gap as he was feeling unwell. They ascended Great Gable without him expecting him to wait but he was not where they left him on their return. They contacted him on his phone and he said he was lost but they could not locate him. Because there was no definite location, Cockermouth team and then Wasdale team were called out. On speaking to the gentleman again, it was decided that he was probably in the vicinity of Seathwaite in the Borrowdale valley so Keswick team were called. 2 members set off immediately from base, while another 6 joined them who had been out doing rigging training in the valley at Wodens Face.
He was quickly spotted trying to descend the steep Strawberry Gill on the side of Base Brown. The team located him and walked him down to Seathwaite where he was reunited with his friends. 2 hours 50 minutes – 10 team members",,base-brown
"A group of four walkers having ascended Scafell Pike requested assistance when one of the party fell and injured their leg. In addition they were fatigued, and disorientated by the dark and misty conditions. After the KMR team arrived and an assessment made, the party were assisted down the hill to Seathwaite Farm. 16 team members – 3 hours 40 minutes",,sty-head
A group of 6 experienced walkers were crag fast but uninjured at the bottom of Slape Crag on Barf (a rescue hotspot). A small team was mobilised who were able to assist the group out of the difficult ground. 5 team members – 1 hour 45 minutes,,barf
A 66 year old female walking with her husband slipped and suffered a possible dislocation fracture to her right ankle. She had already taken some painkillers by the time the team reached her so she was splinted and stretchered to the ambulance which met up with the team at Rakefoot Farm from where she was transported to Carlisle Infirmary. 12 team members – 2 hours,,top-of-cat-ghyll-walla-crag
"A 62 year old male paraglider made an uncontrolled descent onto Blease Fell on Blencathra. He had suspected spinal injuries and as a result of the possible seriousness of his injuries, Great North Air Ambulance were tasked to the incident. They were able to land close to the casualty site and therefore Keswick team were stood down. 11 team members – 46 minutes",,blease-fell-blencathra
"A 70 year old woman out walking with a group from a local outdoor centre collapsed and was unresponsive for a short time. She was close to the Watendlath road so a vehicle of team members drove up and found her with the group. She was up and walking by then, so the team assessed her but found her to be recovered. She was collected by the outdoor centre minibus and driven to Keswick hospital for a check up. 10 team members – 57 minutes",,upper-shepherds-path
A 61 year old female slipped on greasy tree roots on the lake shore near to Brandlehow jetty and fell injuring her ankle and her fibula. She was given analgesia by team members on scene and then stretchered to the waiting ambulance. 17 team members – 1 hour 15 minutes,,brandlehow
An experienced walker was reported overdue following a night planned out wild camping by Sprinkling Tarn. His wife raised the alarm after he failed to arrive home on time which was unusual for him. Members from Keswick were called to assist Wasdale team who were already on the hill and we searched the Grains Gill and Sty Head paths. One of our team members quickly found him safe and well as he was descending the path from Styhead Tarn to Seathwaite where he had left his car. A call out with good intent. 7 team members – 2 hours,,sprinkling-tarn-area
"Two walkers ascending Barf decided to take different routes up after getting to the tricky section at Slape crag. They arranged to meet up at the Swan Hotel at the foot of Barf later in the day. However, one of them (a 70 year old man) failed to turn up to meet his companion and so he called out the team after thinking he heard his friend shouting as he descended. A small team set off in a team Landrover and searched two routes up Barf – the easier route via Beckstones Gill and the direct route via the Bishop. As he was not found on these routes a coastguard helicopter was requested to help with the search and a second page went out to the team for more team members. 20 minutes after our second vehicle left base, the missing man was reported to have turned up safe and well at his hotel and the team and helicopter were stood down. 20 team members – 2 hours 25 minutes",,barf
"A 60 year male had been descending down through the slate mines between Dale Head and High Spy with his wife. He slipped and injured his ankle and had managed to continue as far as the waterfall and was then unable to carry on. His wife continued to Low Snab Farm where she called in the incident. The team responded with 2 vehicles of members and quickly found him and gave him analgesia and splinted his ankle. As there was a delay allocating an ambulance, the team drove him to Keswick Cottage Hospital. 19 team members – 1 hour 9 minutes",,newlands-valley
"A 69 year old man was descending High Spy via Nitting Haws towards Grange. He was following the path marked on the OS map but this involves some difficult ground. Unfortunately he took a tumble and was left with a deep cut to the forehead, pain in his ribs and various abrasions. A MR team with 2 paramedics was quickly dispatched and the man was treated at the scene before being transported down the fell side and on to Keswick hospital. 10 team members – I hour 52 minutes",,20271
"A 55 year old female fell whilst climbing over a fence by the river Derwent a mile north of Rosthwaite. She had suspected head, shoulder and neck injuries so because of the possible seriousness of her injuries an air ambulance was allocated. Two vehicles of team members were quickly away and treated her with strong analgesia. A land ambulance was available and the air ambulance was stood down and the lady was stretchered to the ambulance at a pull in on the Borrowdale road opposite Colywife Dub. 18 team members – 1 hour 14 minutes",,allerdale-ramble
"A 55 year old man injured his back after slipping on the steep rocky path next to Lining Crag. A Coastguard helicopter was on exercise in Wasdale at the time but was re-deployed, firstly to pick up two Keswick MR members from Stonethwaite to assist with the extraction of the casualty, and then on to the Cumberland Infirmary Hospital at Carlisle. 8 team members – 3 hours",,greenup-gill
A red flare was reported to have been seen above Stanger Ghyll above Stonethwaite. A team member from Rosthwaite investigated by climbing the full length of the Ghyll and found nothing and had no response to regular shouts. At the estimated time of the sighting there were military jets circling above the fell. Perhaps the flare was linked to this? 3 team members – 2 hours 30 minutes,,stanger-ghyll-above-stonethwaite
The team were called to a lady below Barrow Door who had slipped on the descent path and heard a crack from her ankle. The team Landrover and a Sprinter approached from High Coledale above Braithwaite and found the casualty on the Stoneycroft path below Barrow door. After splinting her ankle the lady was stretchered down the track to the road in Newlands Valley. The casualty and the other members of her party were transferred by team vehicle back to their own vehicle in Braithwaite who then travelled to Carlisle for x-ray. 20 team members – duration 1 hour 37 minutes,,20211
"A father and son were caught out in heavy rain and poor visibility whilst walking from Maiden Moor to High Spy. They decided to descend to Borrowdale on the path via Nitting Haws. Due to the conditions they lost the path and ended up stuck in difficult and slippery terrain. A small Keswick mountain rescue team was dispatched to Hollows Farm campsite, but as the weather had by then improved, the father and son had made their own way safely down to the campsite. 4 team members – 1 hour 30 mins",,high-spy-66
2 paddle boarders were reported to be in difficulty due to the wind conditions. The fire service were dealing with the incident in the first instance but asked for Keswick MRT to be on standby. A team member did take a boat out from Derwentwater Marina for a search but it appears the 2 paddle boarders had safely sorted themselves out. 6 members – 40 minutes,,derwentwater
"A 34 year man had set off around 6am from his guesthouse in Keswick for an early morning walk up Latrigg. He blacked out on the zigzags up to the summit and woke unaware of how long he had been unconscious. The team were called out and our Landrover managed to get to within 50m of the casualty. He was assessed and apart from some bruising to his eye, seemed to have recovered well. To be safe, the team decided to stretcher him to Gale road and met the NWAS ambulance there where we handed him over to their paramedic. 13 team members – 1 hour 15 minutes",,NA
"What a difference a day makes….. From the recent long heatwave to heavy showers and strong winds. Two lads decided it was a good idea to try Sharp Edge on this blustery and relatively cold day with heavy showers passing through. Their initial adventure went fine until the steeper upper part of the ridge where one of the lads became cragfast on steep and very slippery wet rock. The team raced up from Mousethwaite Comb and were on scene in around an hour. All this time the lad had been clinging to the rock dressed only in shorts and a long sleeve t-shirt, he was cold! The cragfast chap was harnessed and rope-assisted from above then short-roped up onto easier ground and the top of Blencathra. Both lads got away with what could have been a much more serious incident – a very good lesson learnt about possible conditions in the fells. 7 team members – 3 hours",,sharp-edge
A 20 year old male came off his mountain bike at speed suffering a suspected fracture of the femur. A team was quickly dispatched to Revelin Moss. The team were able to drive close to the casualty on forest roads. A second vehicle was dispatched as support. The casualty was assessed and packaged for transfer to a land ambulance for on-going treatment at Carlisle hospital. 19 team members – 1 hour 30 minutes,,whinlatter-south-loop
"A family with a 3 month old child were visiting Derwent House on Derwent Island. The baby had fallen from bed and a potential head injury was reported. As there was no available boat service to the island the ambulance service requested help from Keswick MRT who quickly deployed an inflatable craft and transported a paramedic to the island. A back up boat was also prepared at Derwentwater Marina. A preliminary examination showed no apparent injury but it was agreed that further checks be carried out at Carlisle hospital. The baby, who seemed oblivious to the fuss, together with a family member were transferred to shore and then driven by ambulance to Carlisle. 15 team members – 3 hours 25 mins",,derwent-island
A 61 year old male came off his bike descending a corner on Spooney Green Lane on the side of Latrigg. A passing walker phoned for help and the team sent out a vehicle of team members who reached the gentlemen along with an ambulance crew. He was given pain relief and splinted before being stretchered up to the waiting ambulance at Gale Road car park. 6 team members – 26 minutes,,spooney-green-lane
"A 32 year old male walked up Blencathra and while descending from the summit along Hall’s Fell Ridge, he became crag fast having left the main ridge line. He had no injuries but was unable to continue. He was located using SARLOC and a small team of members in one vehicle set off to find him. He was quickly located and walked back onto the ridge and then down to his vehicle. 11 team members – 1 hour 34 minutes",,halls-fell-ridge-blencathra
"The third call out of the day, and just below the previous one, a 25 year old female was reported to have gone over on her ankle. It was swollen and painful to weight bear on and possibly fractured. Two vehicles of team members set off and once with the casualty, splinted her ankle and gave her painkillers before stretchering her down to the road. From there a friend drove her to Carlisle Infirmary. 15 team members – 54 minutes",,catbells
"A young Polish couple camping near Castle Crag in Borrowdale were woken at 4:30 when their tent started to float. Very heavy and localised flooding in the Borrowdale Valley caused the rivers to rise quickly and the couple became trapped between streams and called for rescue. The team sent swift water rescue-trained personnel to the scene. They were able to retrieve the stranded couple and walk them off using the team’s boat to cross a couple of deeper sections of path. River levels at this stage were falling quite fast, the rain having all but stopped, but it was dramatic to see the difference in river levels between Keswick and Borrowdale. Moral – check the forecast!
13 team members – 2 hours 10 minutes",,rosthwaite
"A 30 year old female suffered a laceration to her leg whilst crossing a fence near the old railway line between Threlkeld and Keswick. The team approached from the other side of the Greta River for speed knowing the river level was low. After getting wet feet the team found and treated the casualty before walking her out to Wescoe, Threlkeld.
10 team members – 1 hour 20 minutes",,keswick-threlkeld-railway-line
A 79 year old male had been on a National Trust mine tour of Force Crag mine when he started to feel unwell. The team sent a vehicle of team members who were able to drive directly to the mine. A team paramedic was on scene too and the gentleman was assessed and had appeared to have made a full recovery so no treatment was needed. He was driven back to his car by a National Trust warden and advised to go to Keswick Hospital for a check up. 9 team members – 1 hour 30 minutes,,force-crag-mine
The previous incident was reopened as the event staff were unable to transport the casualty. 2 vehicles of team members drove to Rosthwaite and walked up to the casualty. Her knee was assessed by a team paramedic. She was unable to walk but was fairly comfortable when the knee was resting and had received analgesia already from the event paramedic. The team stretchered her down to the road where the event medics transported her to hospital. 17 team members – 59 minutes,,puddingstone-bank-rosthwaite
"On descent from the summit of Blencathra down Halls Fell a walker lost the path on steep ground and ended up in a deep gully unable to go up or down. The walker was located using SARLOC and advised to traverse back towards Halls Fell ridge. Meantime a small team were sent to help. The team embers located the man and escorted him down the rest of the way.
6 team members – 2 hours 8 minutes",,halls-fell-blencathra
"A 71 year old lady walking with friends slipped as she descended from the Allerdale Ramble to Rosthwaite. She suffered a possible fracture dislocation of her left ankle. The team took two vehicles of members and parked at New Bridge, Rosthwaite, and found the casualty 10 minutes up the path. A team paramedic gave her analgesia and then attempted to reduce the dislocation but was not able to. As an air ambulance or a land ambulance were not immediately available, the decision was made to stretcher her down to our team Sprinter and transport her to Keswick hospital bu which time NWAS were able to meet up and transport her to Carlisle Infirmary. 11 team members plus 1 Kirkby Stephen team member who was in Rosthwaite – 2 hour 24 minutes",,lingy-bank
"The Wasdale team had been informed of a 62 year old lady who had fallen near Sty Head stretcher box and had suffered a possible broken wrist and injured knee. Wasdale passed it on to Keswick as the lady was descending back towards Borrowdale. A Landrover and 5 team members left base and made their way up valley followed by a further 6 members in a Sprinter. A team paramedic was first on scene and along with the first team assisted the lady back down to Borrowdale where she was able to make her way to hospital with the assistance of friends.
17 team members – 2 hours 32 minutes",,sty-head
A 21 year old female out walking her dog along the Keswick to Threlkeld railway line wandered along the riverbank onto steep loose ground at the sight of a landslide on a meander of the River Greta. She found herself stuck and unable to move from her position and phoned for help. The team set off with two vehicles. One with 2 spotters to walk along the railway line to confirm her location while the other vehicle of members rigged up to pick her off. She was quickly located and a team member was lowered to her and brought her back to safe ground. Another team member reached the dog and lured it to safety. 11 team members – 1 hour 26 minutes,,low-briery
A 40 year old woman competing in a trail race during the Keswick Mountain Festival twisted her knee and was unable to walk. A vehicle full of team members turned out but was quickly stood down as the event medic confirmed that he was with her and they were going to attempt to bring her down to the road themselves. 16 team members – 25 minutes,,20085
The team were called to a 58 year old man who had fainted during a warm climb up Catbells. A team of 5 left base quickly in the Landrover followed by a Sprinter with a further 3 members. Team members were quickly on scene doing an initial assessment of the casualty. A team paramedic arrived shortly after and did more thorough checks. The man was able to walk himself off the hill with assistance and was met at the road by an NWAS ambulance crew and transferred to hospital. 13 team members – 1 hour 35 minutes,,20189
"The team received a call from a concerned walker who thought they could see an orange survival bag and could hear whistling just below the rock buttress of Hind crag. KMRT sent a truck to investigate further. Once at Seathwaite farm, team members spoke to students from a university who were surveying the area and were using orange markers as part of their study. Just to be sure team members double checked the location and confirmed it to be an orange marker. A false alarm with good intent.
8 team members 1 hour 13 minutes",,hind-crag-seathwaite
Transport assist : a walker had been out on the fells all night and was collected by the coastguard helicopter and transported to Crow Park just next to Keswick Mountain Rescue Base. A team member transported the casualty suffering from possible hypothermia to Keswick Cottage Hospital. 3 team members – 45 mins,,keswick-base
"A 62 year old man was descending High Spy via Nitting Haws but fell 5m onto rocks resulting in suspected broken ribs, and a painful knee. The team paramedic provided pain relief but due to the severity of the injury a coastguard helicopter was requested. The casualty was winched to the helicopter and taken to the Royal Victoria Hospital in Newcastle This is the third incident on Nitting Haws in less than 2 weeks! 15 team members – 3 hours",,nitting-haws
"At 1820 on Tuesday evening, Wasdale, Cockermouth and Keswick MR teams were called to search for a missing 36 year old male fell runner who had become separated from his partner whilst attempting to run legs 3 and 4 of the Bob Graham Round. The runners had been descending from Red Pike heading for Little Scoat Fell at a height of around 750-850m when they became separated. When the bad weather arrived, the running partner backtracked to a point where he believed he would meet up with his partner but was unable to find him in the thick cloud. After searching for a considerable time in worsening weather, he eventually gave up and made his way over to Black Sail Pass. From here he was able to see Black Sail Youth Hostel and he made his way down to the hut and raised the alarm.
Over 60 team members from Wasdale, Cockermouth and Keswick MR teams along with search dogs carried out a thorough search of all major footpaths and all obvious escape routes along the planned route in strong wind, heavy rain and thick cloud until approximately 0200 the next morning. At that point with no further information on the location of the fell runner and the difficult search conditions which prohibited the use of a helicopter, the very difficult decision was taken to call the search off until first light. The search was resumed again at 0500 on Wednesday 2nd May with additional team members from Penrith MRT, Kirkby Stephen MRT, Coniston MRT, Kendal MRT and Northumberland MRT. The coastguard search and rescue helicopter also joined the search at that point.
At approximately 0730, the missing fell runner was found and was flown by coastguard helicopter to the RVI hospital in Newcastle. Sadly, they were unable to resuscitate him. This was a major search involving over 100 rescuers, 9 dogs, a coastguard helicopter and much assistance from the NWAS Air Desk and Cumbria Police. It’s always very difficult mounting a search like this covering such a large area, with a potentially moving casualty at night and in challenging weather conditions and low visibility so there was always a low probability of a find at night which unfortunately proved to be the case.
This was an experienced fell runner doing something that many of our team members enjoy so it was a particularly poignant call out for many. 22 Keswick team members – 8 hours 40 minutes",,ennerdale-buttermere-honister-fells
A 70 year old male was reported struggling to breathe on a path close to Seatoller House Guesthouse in Borrowdale. A team responded with a landrover full of team members but was stood down almost immediately when he called in to say he’d managed to reach the guesthouse. An ambulance collected him to take him to be checked over at hospital. 8 team members – 1 minute!,,20022
"Keswick MRT were called to assist a stuck climber on Monday morning at Shepherds crag in Borrowdale. The climber had returned to the crag having spent the previous day climbing there but had to leave gear in place after it started raining. Abseiling in to retrieve equipment his ropes became stuck and he was unable to move from a ledge. Uninjured but cold and wet, the team responded with one vehicle and untangled the climbers ropes from the top of the crag. Once released the climber could then self rescue and continue to abseil to the bottom of the crag.
1 hour 5 minutes 14 team members.",,shepherds-crag
A 14 year old youth had a fall from his mountain bike on north red route of the Whinlatter bike trails hitting his shoulder and grazing his face. An ambulance was called and the paramedic was taken to the scene by the Forestry Commission. Keswick team Landrover drove up to assist and was able to bring the youth back to the awaiting ambulance. The lad was assessed further then transported to Cumberland Infirmary in Carlisle . 10 team members – 1 hour 10 minutes,,whinlatter
"Kewsick MRT were contacted early Tuesday morning after a phone call was made to the police regarding a dead body found on Latrigg. Once the team arrived we awaited a paramedic who then declared the man found to be dead. We then assisted Cumbria police to help them recover the body and stretchered the body back to the car park to await transportation.
18 team members 2 hours 35 minutes",,latrigg
"Two ladies, one 7 months pregnant, had walked from Seathwaite to Scafell Pike arriving on the summit around 5pm with plenty of daylight to return. On their descent, the 6 year old husky gave up and would walk no further despite the lure of treats. One of our team members who lives close to the location set off first with his daughter, a student vet. They were followed by a vehicle of team members and one of our search dog handlers. It was quickly obvious that the dog would not be able to walk down, it made 2 steps with some gentle persuasion and loads of treats and stopped, so she was placed in a kind of nest made from our casualty bag, put onto the stretcher, strapped in and carried down arriving back in the valley at Seathwaite around 2am.
The owner kindly updated us the next day and it turned out the dog had lacerations on its paws explaining it’s reluctance to walk.
It had previously done the Yorkshire 3 peaks so is a fit dog – it was just unfortunate, but made for a ‘different’ kind of rescue from the norm! 13 team members – 2 hours 53 minutes",,styhead-path-borrowdale
