title,date,loc,gridref,incident
Walker Falls on Striding Edge,2022-08-01,Striding Edge,NY 34520 14985,"On Monday the 1st of August 2022 the team were called out after a female walker had fallen on Striding Edge. The walker had been walking with her partner on Striding Edge heading for the Helvellyn summit. Whilst negotiating the “bad step” the female lost her footing and fell around 10 meter down the rocky shute, sustaining serious injuries. In addition to the Patterdale team, the Great North Air Ambulance (GNAAS) and Rescue 199 coastguard helicopter also responded.

The GNAAS helicopter landed on the Helvellyn summit and their medics arrived first on scene to treat the casualties injuries. Rescue 199 landed at Red Tarn and flew Patterdale members to near the scene. Once the casualty had been treated and stabilised by the medics, she was transferred to a stretcher and then winched off the mountain by Rescue 199 and was then flown to the RVI in Newcastle for further treatment. The team would like to thank GNAAS and the Coastguard for some great team work which made this another efficient rescue. We also wish our casualty a rapid recovery and hope to see her walking in the Lakes again very soon.

The rescue involved 13 Patterdale Team members and lasted 4 hours.



 "
Lights seen on Dove Crag,2022-07-27,Dove Crag,NY 38672 11422,"On Wednesday 27/07/22 at around 2230hrs, the team were alerted about possible distress lights seen on Dove Crag. The team leader spoke to the informant and it became clear that lights seen came from the Priest Hole area. This is an area popular with wild campers. No further action was required and the team was stood down."
Female with heat exhaustion,2022-07-18,"Ullswater, Lake Shore footpath",NY 40560 19150,"

On Monday 18th July members of Patterdale MRT were called out by Cumbria Police to assist a female who was suffering from heat exhaustion. Due to the location of the incident, the team used their rescue rib to transport members and medical equipment to the eastern shores of Ullswater. On scene the female was assessed and treated by the team doctor before being transferred by stretcher to the rescue rib and taken across Ullswater to the waiting ambulance for further assessment.

The teams' ""Rescue Rib"" affectionally known by the call sign ""Patrick Scottie"" has provided over 15 years of sterling service to the team and helped transport numerous casualties over the years. The team are currently fundraising to replace ""Scottie"" with a new modern rescue boat to meet current standards and specifications. Further details can be found on our website www.mountainrescue.org.uk and the ""Rescue Boat Appeal""

Once again our thanks go to our supporters and members of the public who fund the service we provide.

Thank you

Mike Rippon

Team Leader

 "
Male with chest injuries,2022-07-17,"Cat Crag, Angle Tarn",NY 41670 14210,"On Sunday 17th July, members of Patterdale MRT were called to assist NWAS with the extraction of a casualty who had suffered chest injuries while out camping.

Due to the location and nature on the injuries, Helimed 58 and a SAR Aircraft from Caernarfon attended, along with members Penrith MRT."
Lady slipped on Striding Edge,2022-07-16,Striding Edge,NY 34940 14910,"At 13.45 hrs on Saturday 16th July the team were called by Cumbria Police to assist an elderly female who had slipped whilst traversing striding edge and taken a fall. The Leader on call initiated the response by the team and due to her injuries , the location and the hot weather requested a Coastguard SAR helicopter to assist. Team members ascended on foot to Striding Edge whilst the helicopter from Prestwick arrived on scene.  The lady was treated at scene for shoulder and arm injuries including a fractured wrist , she was winched into the helicopter and flown to Hospital for further treatment .  The team thank the coastguard for their assistance , this saved a long and very hot evacuation as the weather was extremely hot. The rescue took just over 3 hours and involved 12 team members."
"Lady with suspected heat stroke, Airaforce",2022-07-10,Airaforce,NY 39960 21280,"On Sunday 10 July, volunteers from Patterdale Mountain Rescue Team were called to assist NWAS with a lady with suspected heat stroke. On arrival at scene the Team doctor assisted NWAS while team members prepared for the casualty evacuation back to the waiting ambulance. Once transferred to the ambulance the lady was taken to hospital for further assessments.

Patterdale MRT would like to advise people while out walking in the sunny warm weather to take with them plenty of fluids, suncream and exercise appropriately.

 "
Marshal not made contact,2022-07-08,Helvellyn Area,NY 33861 51701,"On Friday 8th July not long after the teams earlier call out Cumbria Constabulary again contacted the team at 23.20hrs to say a race marshal who had been setting out for a race around the Helvellyn area had failed to sign back in with the organisers and they were unable to make contact with him.  Initial enquiries were started and whilst team members were on route to Patterdale Base the marshal made contact with the Team Leader to state he was in fact at home and had been there since around 20.00hrs. Communications had somehow been lost between the organisers and the marshal and thankfully all were safe and well, the team were quickly able to be stood down and return home to their beds."
Walker with suspected stroke.,2022-07-08,Hartsop above how,NY 39900 13460,At 20:05hrs on Friday 8th July Cumbria Constabulary requested the team to assist a 69 year old male who had been walking with his colleagues in the Dovedale area. The male was unsteady on his feet and unable to finish his walk  after he began to feel unwell a few hours earlier in the day.  The team located the group who were on the path leading from the top of Low Wood heading towards Hartsop Above How. After being treated by team doctors he was carried off the hill by stretcher to a team Landrover and conveyed back to Patterdale Base.  The male was then transported by North West Ambulance to Carlisle hospital for further treatment after it was suspected he had suffered a stroke earlier in the day. 16 team members attended the incident which took just over two hours to complete.
Ankle injury at Aira Force,2022-07-04,Aira Force ,NY 40040 20830,"At 13:20 on Monday 4th July 2022, Patterdale Mountain Rescue Team received a call from the Cumbria Police to assist a 67 year old woman from Reading who had slipped whilst out walking near Aira Force with her husband.   12 team members responded to the callout.  The woman's injured ankle was assessed and splinted and she was stretchered back to her car, from where her husband drove her to Penrith Minor Injuries Unit.   The callout lasted about 2 hours."
Male fallen on Striding Edge,2022-06-12,STRIDING EDGE,NY 34611 14964,"On Sunday 12th June at 12.50hrs the team were called by Cumbria Police to a report that a male in his fifties had fallen on Striding Edge sustaining head and leg injuries. The Duty Leader attempted to make contact with the casualties wife who was the informant but due to lack of phone signal this was unable to be done. Due to the location and reported injuries a Coastguard Helicopter with winching capabilities was requested to assist in the rescue ,on their arrival they attempted to get the winch paramedic to scene but due to the wind conditions were unable.  Team members who had ascended on foot from Greenside were  then flown from Red Tarn outlet onto Helvellyn Summit, they were then able to make their way quickly on foot down onto Striding Edge. Once at the casualty it was established he had fallen around 5 metres ,he was quickly assessed and treated for his injuries , he was then placed into a cas bag , vacuum mattress and placed onto the stretcher. Team members then carried the stretcher up onto the ridge and then lowered him down from Striding Edge around 15o metres involving a technical rope system.  The weather was heavy rain and low cloud by this time , fortunately once they had descended into the back of Red Tarn at the base of Helvellyn the coastguard helicopter with some excellent flying managed to winch the casualty on board and he was transported to hospital at Carlisle for further treatment. The rescue was attended by 15 team members taking around 4.5 hours in total.

"
